County_Name,hiv_rate
Autauga,219
Baldwin,166
Barbour,420
Bibb,196
Blount,99
Bullock,632
Butler,311
Calhoun,226
Chambers,387
Cherokee,116
Chilton,110
Choctaw,231
Clarke,159
Clay,174
Cleburne,120
Coffee,152
Colbert,99
Conecuh,310
Coosa,146
Covington,155
Crenshaw,223
Cullman,78
Dale,244
Dallas,422
DeKalb,88
Elmore,222
Escambia,222
Etowah,187
Fayette,99
Franklin,53
Geneva,151
Greene,378
Hale,436
Henry,212
Houston,366
Jackson,74
Jefferson,621
Lamar,134
Lauderdale,91
Lawrence,81
Lee,197
Limestone,129
Lowndes,606
Macon,496
Madison,236
Marengo,195
Marion,113
Marshall,115
Mobile,510
Monroe,213
Montgomery,749
Morgan,140
Perry,272
Pickens,280
Pike,356
Randolph,57
Russell,417
St. Clair,142
Shelby,155
Sumter,323
Talladega,268
Tallapoosa,188
Tuscaloosa,246
Walker,143
Washington,85
Wilcox,275
Winston,53
Aleutians East,
Aleutians West,
Anchorage,
Bethel,
Bristol Bay,
Denali,
Dillingham,
Fairbanks North Star,
Haines,
Hoonah-Angoon,
Juneau,
Kenai Peninsula,
Ketchikan Gateway,
Kodiak Island,
Kusilvak,
Lake and Peninsula,
Matanuska-Susitna,
Nome,
North Slope,
Northwest Arctic,
Petersburg,
Prince of Wales-Hyder,
Sitka,
Skagway,
Southeast Fairbanks,
Valdez-Cordova,
Wrangell,
Yakutat,
Yukon-Koyukuk,
Apache,193
Cochise,186
Coconino,113
Gila,94
Graham,72
Greenlee,78
La Paz,144
Maricopa,309
Mohave,130
Navajo,150
Pima,281
Pinal,253
Santa Cruz,132
Yavapai,126
Yuma,154
Arkansas,230
Ashley,105
Baxter,91
Benton,121
Boone,67
Bradley,110
Calhoun,155
Carroll,260
Chicot,384
Clark,154
Clay,70
Cleburne,101
Cleveland,128
Columbia,157
Conway,160
Craighead,168
Crawford,105
Crittenden,522
Cross,169
Dallas,
Desha,175
Drew,139
Faulkner,143
Franklin,101
Fulton,97
Garland,231
Grant,138
Greene,103
Hempstead,134
Hot Spring,241
Howard,110
Independence,117
Izard,118
Jackson,263
Jefferson,477
Johnson,60
Lafayette,99
Lawrence,49
Lee,616
Lincoln,339
Little River,209
Logan,65
Lonoke,97
Madison,104
Marion,105
Miller,295
Mississippi,204
Monroe,260
Montgomery,89
Nevada,113
Newton,88
Ouachita,253
Perry,103
Phillips,309
Pike,65
Poinsett,110
Polk,65
Pope,99
Prairie,184
Pulaski,563
Randolph,61
St. Francis,319
Saline,83
Scott,
Searcy,
Sebastian,198
Sevier,89
Sharp,68
Stone,64
Union,352
Van Buren,
Washington,170
White,110
Woodruff,141
Yell,123
Alameda,408
Alpine,
Amador,
Butte,124
Calaveras,99
Colusa,34
Contra Costa,256
Del Norte,94
El Dorado,116
Fresno,233
Glenn,75
Humboldt,175
Imperial,198
Inyo,163
Kern,212
Kings,132
Lake,266
Lassen,84
Los Angeles,565
Madera,141
Marin,355
Mariposa,135
Mendocino,227
Merced,121
Modoc,
Mono,49
Monterey,192
Napa,227
Nevada,117
Orange,246
Placer,100
Plumas,108
Riverside,385
Sacramento,328
San Benito,82
San Bernardino,224
San Diego,454
San Francisco,1589
San Joaquin,214
San Luis Obispo,159
San Mateo,238
Santa Barbara,153
Santa Clara,184
Santa Cruz,196
Shasta,125
Sierra,265
Siskiyou,150
Solano,328
Sonoma,331
Stanislaus,154
Sutter,110
Tehama,83
Trinity,123
Tulare,114
Tuolumne,92
Ventura,136
Yolo,135
Yuba,131
Adams,240
Alamosa,132
Arapahoe,284
Archuleta,80
Baca,
Bent,98
Boulder,161
Broomfield,101
Chaffee,52
Cheyenne,
Clear Creek,192
Conejos,91
Costilla,187
Crowley,358
Custer,
Delta,53
Denver,962
Dolores,
Douglas,84
Eagle,138
Elbert,83
El Paso,154
Fremont,283
Garfield,120
Gilpin,152
Grand,90
Gunnison,69
Hinsdale,
Huerfano,154
Jackson,0
Jefferson,164
Kiowa,0
Kit Carson,
Lake,
La Plata,94
Larimer,88
Las Animas,204
Lincoln,147
Logan,79
Mesa,107
Mineral,0
Moffat,84
Montezuma,100
Montrose,72
Morgan,101
Otero,79
Ouray,0
Park,155
Phillips,
Pitkin,156
Prowers,51
Pueblo,147
Rio Blanco,
Rio Grande,105
Routt,79
Saguache,165
San Juan,
San Miguel,
Sedgwick,
Summit,183
Teller,71
Washington,
Weld,89
Yuma,171
Fairfield,325
Hartford,373
Litchfield,144
Middlesex,202
New Haven,437
New London,220
Tolland,90
Windham,189
Kent,289
New Castle,430
Sussex,331
District of Columbia,2459
Alachua,423
Baker,467
Bay,289
Bradford,298
Brevard,297
Broward,1176
Calhoun,220
Charlotte,201
Citrus,167
Clay,190
Collier,288
Columbia,476
DeSoto,478
Dixie,335
Duval,761
Escambia,475
Flagler,185
Franklin,211
Gadsden,690
Gilchrist,122
Glades,668
Gulf,188
Hamilton,1303
Hardee,284
Hendry,377
Hernando,211
Highlands,248
Hillsborough,572
Holmes,156
Indian River,273
Jackson,1058
Jefferson,920
Lafayette,147
Lake,297
Lee,333
Leon,489
Levy,260
Liberty,274
Madison,874
Manatee,307
Marion,340
Martin,276
Miami-Dade,1123
Monroe,833
Nassau,170
Okaloosa,234
Okeechobee,375
Orange,732
Osceola,406
Palm Beach,628
Pasco,232
Pinellas,511
Polk,400
Putnam,377
St. Johns,159
St. Lucie,596
Santa Rosa,199
Sarasota,240
Seminole,302
Sumter,245
Suwannee,506
Taylor,945
Union,2305
Volusia,352
Wakulla,353
Walton,129
Washington,751
Appling,185
Atkinson,194
Bacon,487
Baker,432
Baldwin,308
Banks,122
Barrow,141
Bartow,188
Ben Hill,149
Berrien,311
Bibb,783
Bleckley,434
Brantley,157
Brooks,408
Bryan,105
Bulloch,355
Burke,441
Butts,401
Calhoun,518
Camden,198
Candler,347
Carroll,181
Catoosa,90
Charlton,236
Chatham,701
Chattahoochee,107
Chattooga,306
Cherokee,145
Clarke,319
Clay,704
Clayton,862
Clinch,488
Cobb,459
Coffee,254
Colquitt,500
Columbia,145
Cook,334
Coweta,197
Crawford,190
Crisp,602
Dade,121
Dawson,118
Decatur,666
DeKalb,1203
Dodge,475
Dooly,320
Dougherty,939
Douglas,341
Early,259
Echols,
Effingham,134
Elbert,192
Emanuel,328
Evans,478
Fannin,167
Fayette,191
Floyd,240
Forsyth,72
Franklin,111
Fulton,1577
Gilmer,151
Glascock,197
Glynn,424
Gordon,117
Grady,329
Greene,130
Gwinnett,351
Habersham,110
Hall,140
Hancock,326
Haralson,112
Harris,129
Hart,175
Heard,164
Henry,324
Houston,264
Irwin,526
Jackson,95
Jasper,191
Jeff Davis,49
Jefferson,396
Jenkins,456
Johnson,283
Jones,100
Lamar,267
Lanier,176
Laurens,458
Lee,184
Liberty,380
Lincoln,221
Long,88
Lowndes,581
Lumpkin,80
McDuffie,228
McIntosh,306
Macon,376
Madison,99
Marion,180
Meriwether,258
Miller,306
Mitchell,427
Monroe,186
Montgomery,235
Morgan,202
Murray,104
Muscogee,605
Newton,362
Oconee,62
Oglethorpe,112
Paulding,141
Peach,422
Pickens,136
Pierce,126
Pike,46
Polk,117
Pulaski,284
Putnam,152
Quitman,538
Rabun,109
Randolph,505
Richmond,848
Rockdale,405
Schley,140
Screven,353
Seminole,292
Spalding,338
Stephens,166
Stewart,910
Sumter,462
Talbot,411
Taliaferro,
Tattnall,418
Taylor,412
Telfair,551
Terrell,459
Thomas,370
Tift,459
Toombs,350
Towns,
Treutlen,412
Troup,205
Turner,441
Twiggs,240
Union,133
Upson,253
Walker,162
Walton,188
Ware,519
Warren,481
Washington,281
Wayne,328
Webster,
Wheeler,525
White,92
Whitfield,166
Wilcox,679
Wilkes,288
Wilkinson,225
Worth,386
Hawaii,224
Honolulu,189
Kalawao,
Kauai,
Maui,219
Ada,50
Adams,0
Bannock,45
Bear Lake,0
Benewah,
Bingham,59
Blaine,43
Boise,
Bonner,60
Bonneville,32
Boundary,51
Butte,0
Camas,0
Canyon,36
Caribou,0
Cassia,
Clark,0
Clearwater,
Custer,0
Elmore,52
Franklin,0
Fremont,
Gem,35
Gooding,65
Idaho,35
Jefferson,
Jerome,28
Kootenai,62
Latah,44
Lemhi,
Lewis,
Lincoln,
Madison,
Minidoka,
Nez Perce,44
Oneida,
Owyhee,
Payette,37
Power,
Shoshone,47
Teton,
Twin Falls,22
Valley,
Washington,0
Adams,84
Alexander,354
Bond,61
Boone,74
Brown,150
Bureau,84
Calhoun,
Carroll,39
Cass,
Champaign,196
Christian,133
Clark,82
Clay,
Clinton,122
Coles,78
Cook,587
Crawford,249
Cumberland,54
DeKalb,79
De Witt,
Douglas,
DuPage,82
Edgar,60
Edwards,
Effingham,28
Fayette,269
Ford,53
Franklin,66
Fulton,186
Gallatin,
Greene,53
Grundy,24
Hamilton,
Hancock,32
Hardin,0
Henderson,
Henry,52
Iroquois,79
Jackson,82
Jasper,
Jefferson,127
Jersey,31
Jo Daviess,63
Johnson,519
Kane,78
Kankakee,139
Kendall,39
Knox,189
Lake,130
LaSalle,79
Lawrence,63
Lee,87
Livingston,270
Logan,311
McDonough,75
McHenry,46
McLean,107
Macon,158
Macoupin,72
Madison,86
Marion,50
Marshall,59
Mason,
Massac,
Menard,104
Mercer,82
Monroe,28
Montgomery,156
Morgan,71
Moultrie,
Ogle,64
Peoria,226
Perry,243
Piatt,
Pike,
Pope,
Pulaski,230
Putnam,
Randolph,174
Richland,
Rock Island,220
St. Clair,314
Saline,
Sangamon,173
Schuyler,
Scott,0
Shelby,27
Stark,0
Stephenson,111
Tazewell,45
Union,48
Vermilion,190
Wabash,
Warren,
Washington,
Wayne,43
White,59
Whiteside,
Will,100
Williamson,91
Winnebago,160
Woodford,58
Adams,
Allen,175
Bartholomew,81
Benton,84
Blackford,88
Boone,75
Brown,91
Carroll,
Cass,81
Clark,218
Clay,91
Clinton,65
Crawford,
Daviess,69
Dearborn,40
Decatur,63
DeKalb,51
Delaware,123
Dubois,45
Elkhart,100
Fayette,55
Floyd,161
Fountain,
Franklin,36
Fulton,59
Gibson,78
Grant,119
Greene,62
Hamilton,81
Hancock,81
Harrison,65
Hendricks,113
Henry,132
Howard,152
Huntington,84
Jackson,154
Jasper,96
Jay,75
Jefferson,80
Jennings,26
Johnson,130
Knox,88
Kosciusko,52
LaGrange,30
Lake,244
LaPorte,163
Lawrence,98
Madison,157
Marion,579
Marshall,39
Martin,82
Miami,140
Monroe,155
Montgomery,99
Morgan,83
Newton,67
Noble,58
Ohio,
Orange,79
Owen,89
Parke,139
Perry,124
Pike,
Porter,101
Posey,46
Pulaski,46
Putnam,164
Randolph,123
Ripley,38
Rush,57
St. Joseph,238
Scott,779
Shelby,70
Spencer,28
Starke,51
Steuben,51
Sullivan,89
Switzerland,125
Tippecanoe,94
Tipton,53
Union,
Vanderburgh,190
Vermillion,
Vigo,226
Wabash,40
Warren,
Warrick,54
Washington,102
Wayne,128
Wells,39
White,99
Whitley,50
Adair,
Adams,
Allamakee,43
Appanoose,47
Audubon,
Benton,93
Black Hawk,94
Boone,71
Bremer,38
Buchanan,52
Buena Vista,121
Butler,
Calhoun,
Carroll,89
Cass,
Cedar,64
Cerro Gordo,62
Cherokee,
Chickasaw,49
Clarke,
Clay,65
Clayton,60
Clinton,81
Crawford,71
Dallas,64
Davis,
Decatur,73
Delaware,
Des Moines,69
Dickinson,47
Dubuque,78
Emmet,
Fayette,52
Floyd,
Franklin,
Fremont,
Greene,66
Grundy,
Guthrie,
Hamilton,63
Hancock,
Hardin,60
Harrison,
Henry,65
Howard,
Humboldt,
Ida,
Iowa,51
Jackson,42
Jasper,90
Jefferson,
Johnson,135
Jones,98
Keokuk,
Kossuth,
Lee,37
Linn,132
Louisa,64
Lucas,83
Lyon,
Madison,84
Mahaska,65
Marion,54
Marshall,79
Mills,103
Mitchell,
Monona,
Monroe,76
Montgomery,105
Muscatine,54
O'Brien,
Osceola,
Page,75
Palo Alto,
Plymouth,57
Pocahontas,
Polk,190
Pottawattamie,112
Poweshiek,63
Ringgold,
Sac,0
Scott,144
Shelby,
Sioux,21
Story,54
Tama,77
Taylor,
Union,67
Van Buren,
Wapello,91
Warren,39
Washington,71
Wayne,0
Webster,57
Winnebago,
Winneshiek,
Woodbury,108
Worth,
Wright,46
Allen,
Anderson,
Atchison,
Barber,
Barton,
Bourbon,
Brown,
Butler,147
Chase,
Chautauqua,
Cherokee,
Cheyenne,
Clark,
Clay,
Cloud,
Coffey,
Comanche,
Cowley,
Crawford,
Decatur,
Dickinson,
Doniphan,
Douglas,83
Edwards,
Elk,
Ellis,
Ellsworth,
Finney,
Ford,
Franklin,
Geary,
Gove,
Graham,
Grant,
Gray,
Greeley,
Greenwood,
Hamilton,
Harper,
Harvey,
Haskell,
Hodgeman,
Jackson,
Jefferson,
Jewell,
Johnson,127
Kearny,
Kingman,
Kiowa,
Labette,
Lane,
Leavenworth,218
Lincoln,
Linn,
Logan,
Lyon,
McPherson,
Marion,
Marshall,
Meade,
Miami,
Mitchell,
Montgomery,
Morris,
Morton,
Nemaha,
Neosho,
Ness,
Norton,
Osage,
Osborne,
Ottawa,
Pawnee,
Phillips,
Pottawatomie,
Pratt,
Rawlins,
Reno,60
Republic,
Rice,
Riley,27
Rooks,
Rush,
Russell,
Saline,
Scott,
Sedgwick,186
Seward,
Shawnee,154
Sheridan,
Sherman,
Smith,
Stafford,
Stanton,
Stevens,
Sumner,
Thomas,
Trego,
Wabaunsee,
Wallace,
Washington,
Wichita,
Wilson,
Woodson,
Wyandotte,292
Adair,
Allen,
Anderson,
Ballard,
Barren,
Bath,
Bell,
Boone,104
Bourbon,
Boyd,
Boyle,
Bracken,
Breathitt,
Breckinridge,
Bullitt,50
Butler,
Caldwell,
Calloway,
Campbell,139
Carlisle,
Carroll,
Carter,
Casey,
Christian,173
Clark,
Clay,
Clinton,
Crittenden,
Cumberland,
Daviess,119
Edmonson,
Elliott,
Estill,
Fayette,330
Fleming,
Floyd,
Franklin,
Fulton,
Gallatin,
Garrard,
Grant,
Graves,
Grayson,
Green,
Greenup,
Hancock,
Hardin,162
Harlan,
Harrison,
Hart,
Henderson,
Henry,
Hickman,
Hopkins,
Jackson,
Jefferson,431
Jessamine,
Johnson,
Kenton,183
Knott,
Knox,
Larue,
Laurel,73
Lawrence,
Lee,
Leslie,
Letcher,
Lewis,
Lincoln,
Livingston,
Logan,
Lyon,
McCracken,227
McCreary,
McLean,
Madison,88
Magoffin,
Marion,
Marshall,
Martin,
Mason,
Meade,
Menifee,
Mercer,
Metcalfe,
Monroe,
Montgomery,
Morgan,
Muhlenberg,
Nelson,
Nicholas,
Ohio,
Oldham,201
Owen,
Owsley,
Pendleton,
Perry,
Pike,35
Powell,
Pulaski,70
Robertson,
Rockcastle,
Rowan,
Russell,
Scott,
Shelby,
Simpson,
Spencer,
Taylor,
Todd,
Trigg,
Trimble,
Union,
Warren,143
Washington,
Wayne,
Webster,
Whitley,
Wolfe,
Woodford,
Acadia,220
Allen,813
Ascension,240
Assumption,140
Avoyelles,494
Beauregard,150
Bienville,286
Bossier,204
Caddo,560
Calcasieu,392
Caldwell,226
Cameron,
Catahoula,348
Claiborne,690
Concordia,302
De Soto,253
East Baton Rouge,1025
East Carroll,355
East Feliciana,1056
Evangeline,254
Franklin,265
Grant,254
Iberia,201
Iberville,1019
Jackson,157
Jefferson,503
Jefferson Davis,238
Lafayette,371
Lafourche,187
La Salle,351
Lincoln,223
Livingston,192
Madison,380
Morehouse,304
Natchitoches,352
Orleans,1432
Ouachita,462
Plaquemines,195
Pointe Coupee,290
Rapides,461
Red River,196
Richland,283
Sabine,75
St. Bernard,481
St. Charles,281
St. Helena,227
St. James,408
St. John the Baptist,480
St. Landry,408
St. Martin,242
St. Mary,195
St. Tammany,208
Tangipahoa,366
Tensas,
Terrebonne,229
Union,162
Vermilion,171
Vernon,146
Washington,475
Webster,219
West Baton Rouge,507
West Carroll,150
West Feliciana,1088
Winn,251
Androscoggin,148
Aroostook,59
Cumberland,221
Franklin,45
Hancock,127
Kennebec,127
Knox,86
Lincoln,76
Oxford,60
Penobscot,87
Piscataquis,46
Sagadahoc,82
Somerset,72
Waldo,108
Washington,98
York,129
Allegany,210
Anne Arundel,280
Baltimore,460
Calvert,160
Caroline,278
Carroll,83
Cecil,153
Charles,342
Dorchester,516
Frederick,188
Garrett,43
Harford,222
Howard,218
Kent,183
Montgomery,397
Prince George's,888
Queen Anne's,129
St. Mary's,161
Somerset,411
Talbot,222
Washington,318
Wicomico,275
Worcester,194
Baltimore City,2150
Barnstable,391
Berkshire,153
Bristol,282
Dukes,285
Essex,279
Franklin,143
Hampden,490
Hampshire,120
Middlesex,271
Nantucket,192
Norfolk,211
Plymouth,221
Suffolk,829
Worcester,260
Alcona,
Alger,85
Allegan,101
Alpena,80
Antrim,69
Arenac,
Baraga,107
Barry,43
Bay,92
Benzie,32
Berrien,173
Branch,58
Calhoun,148
Cass,43
Charlevoix,35
Cheboygan,62
Chippewa,76
Clare,99
Clinton,62
Crawford,
Delta,67
Dickinson,
Eaton,91
Emmet,49
Genesee,149
Gladwin,41
Gogebic,51
Grand Traverse,100
Gratiot,96
Hillsdale,38
Houghton,41
Huron,29
Ingham,171
Ionia,109
Iosco,44
Iron,
Isabella,77
Jackson,167
Kalamazoo,160
Kalkaska,54
Kent,183
Keweenaw,
Lake,95
Lapeer,61
Leelanau,31
Lenawee,58
Livingston,52
Luce,89
Mackinac,83
Macomb,142
Manistee,51
Marquette,58
Mason,56
Mecosta,47
Menominee,49
Midland,42
Missaukee,
Monroe,70
Montcalm,92
Montmorency,72
Muskegon,129
Newaygo,69
Oakland,183
Oceana,31
Ogemaw,49
Ontonagon,
Osceola,71
Oscoda,
Otsego,82
Ottawa,51
Presque Isle,
Roscommon,65
Saginaw,151
St. Clair,
St. Joseph,
Sanilac,56
Schoolcraft,
Shiawassee,68
Tuscola,21
Van Buren,81
Washtenaw,171
Wayne,457
Wexford,61
Aitkin,50
Anoka,147
Becker,43
Beltrami,61
Benton,102
Big Stone,
Blue Earth,68
Brown,42
Carlton,46
Carver,67
Cass,77
Chippewa,80
Chisago,34
Clay,58
Clearwater,
Cook,
Cottonwood,95
Crow Wing,22
Dakota,119
Dodge,30
Douglas,44
Faribault,42
Fillmore,40
Freeborn,35
Goodhue,36
Grant,183
Hennepin,406
Houston,31
Hubbard,34
Isanti,65
Itasca,44
Jackson,142
Kanabec,51
Kandiyohi,79
Kittson,
Koochiching,
Lac qui Parle,
Lake,
Lake of the Woods,0
Le Sueur,43
Lincoln,
Lyon,52
McLeod,70
Mahnomen,
Marshall,
Martin,83
Meeker,52
Mille Lacs,66
Morrison,51
Mower,173
Murray,
Nicollet,49
Nobles,113
Norman,
Olmsted,157
Otter Tail,28
Pennington,
Pine,80
Pipestone,
Polk,65
Pope,75
Ramsey,289
Red Lake,0
Redwood,
Renville,57
Rice,102
Rock,77
Roseau,
St. Louis,75
Scott,87
Sherburne,55
Sibley,
Stearns,42
Steele,29
Stevens,
Swift,
Todd,0
Traverse,0
Wabasha,49
Wadena,
Waseca,50
Washington,83
Watonwan,
Wilkin,
Winona,49
Wright,41
Yellow Medicine,
Adams,374
Alcorn,138
Amite,179
Attala,205
Benton,242
Bolivar,434
Calhoun,124
Carroll,227
Chickasaw,177
Choctaw,128
Claiborne,220
Clarke,366
Clay,270
Coahoma,904
Copiah,378
Covington,229
DeSoto,254
Forrest,629
Franklin,108
George,130
Greene,809
Grenada,415
Hancock,213
Harrison,372
Hinds,1036
Holmes,473
Humphreys,420
Issaquena,
Itawamba,146
Jackson,223
Jasper,282
Jefferson,360
Jefferson Davis,255
Jones,277
Kemper,139
Lafayette,194
Lamar,91
Lauderdale,357
Lawrence,351
Leake,214
Lee,300
Leflore,507
Lincoln,168
Lowndes,270
Madison,255
Marion,278
Marshall,294
Monroe,139
Montgomery,362
Neshoba,157
Newton,223
Noxubee,357
Oktibbeha,155
Panola,268
Pearl River,219
Perry,188
Pike,426
Pontotoc,102
Prentiss,75
Quitman,505
Rankin,311
Scott,302
Sharkey,
Simpson,206
Smith,120
Stone,270
Sunflower,881
Tallahatchie,170
Tate,126
Tippah,93
Tishomingo,60
Tunica,819
Union,107
Walthall,197
Warren,352
Washington,531
Wayne,143
Webster,135
Wilkinson,289
Winston,175
Yalobusha,267
Yazoo,466
Adair,191
Andrew,130
Atchison,
Audrain,129
Barry,134
Barton,60
Bates,139
Benton,174
Bollinger,125
Boone,139
Buchanan,179
Butler,112
Caldwell,488
Callaway,180
Camden,91
Cape Girardeau,98
Carroll,80
Carter,
Cass,97
Cedar,
Chariton,
Christian,103
Clark,
Clay,181
Clinton,64
Cole,171
Cooper,287
Crawford,93
Dade,
Dallas,73
Daviess,207
DeKalb,126
Dent,278
Douglas,159
Dunklin,96
Franklin,78
Gasconade,39
Gentry,
Greene,222
Grundy,
Harrison,
Henry,98
Hickory,
Holt,0
Howard,
Howell,42
Iron,103
Jackson,478
Jasper,169
Jefferson,92
Johnson,99
Knox,
Laclede,61
Lafayette,47
Lawrence,63
Lewis,70
Lincoln,99
Linn,
Livingston,70
McDonald,139
Macon,71
Madison,49
Maries,105
Marion,75
Mercer,
Miller,43
Mississippi,421
Moniteau,121
Monroe,274
Montgomery,51
Morgan,
New Madrid,101
Newton,20
Nodaway,55
Oregon,100
Osage,
Ozark,
Pemiscot,172
Perry,31
Pettis,57
