County_Name,personal_income_per_capita
Polk,33703
Pulaski,40512
Putnam,33945
Ralls,40698
Randolph,39903
Ray,42305
Reynolds,35034
Ripley,30437
St. Charles,53745
St. Clair,29830
Ste. Genevieve,41822
St. Francois,34485
St. Louis,71360
Saline,38580
Schuyler,29013
Scotland,33262
Scott,40221
Shannon,30503
Shelby,40356
Stoddard,37020
Stone,38900
Sullivan,37649
Taney,35956
Texas,28169
Vernon,35930
Warren,41674
Washington,29606
Wayne,29581
Webster,32589
Worth,35573
Wright,32178
St. Louis City,47643
Beaverhead,44664
Big Horn,30533
Blaine,31263
Broadwater,39306
Carbon,47442
Carter,44358
Cascade,47518
Chouteau,37340
Custer,44689
Daniels,48086
Dawson,45295
Deer Lodge,39063
Fallon,49509
Fergus,43808
Flathead,47331
Gallatin,54734
Garfield,36291
Glacier,34458
Golden Valley,49137
Granite,43791
Hill,45017
Jefferson,47960
Judith Basin,50492
Lake,39365
Lewis and Clark,48562
Liberty,40956
Lincoln,35432
McCone,42209
Madison,49115
Meagher,46128
Mineral,39957
Missoula,49492
Musselshell,43133
Park,48114
Petroleum,35772
Phillips,39172
Pondera,42363
Powder River,32479
Powell,39771
Prairie,44739
Ravalli,44602
Richland,61217
Roosevelt,34794
Rosebud,42250
Sanders,34896
Sheridan,52541
Silver Bow,48939
Stillwater,51773
Sweet Grass,44455
Teton,44369
Toole,45481
Treasure,48415
Valley,46911
Wheatland,35934
Wibaux,50940
Yellowstone,52340
Adams,49139
Antelope,46981
Arthur,46901
Banner,58252
Blaine,45788
Boone,54024
Box Butte,47359
Boyd,55795
Brown,51496
Buffalo,54052
Burt,50268
Butler,47286
Cass,53602
Cedar,52839
Chase,49267
Cherry,45124
Cheyenne,48263
Clay,47220
Colfax,43106
Cuming,58610
Custer,44290
Dakota,41831
Dawes,37092
Dawson,43055
Deuel,44289
Dixon,44185
Dodge,47330
Douglas,63435
Dundy,53144
Fillmore,57068
Franklin,47132
Frontier,44469
Furnas,49008
Gage,49863
Garden,40892
Garfield,43905
Gosper,52671
Grant,42545
Greeley,45109
Hall,43625
Hamilton,54782
Harlan,48143
Hayes,45409
Hitchcock,37990
Holt,51404
Hooker,52667
Howard,41377
Jefferson,48757
Johnson,37179
Kearney,56309
Keith,45896
Keya Paha,58784
Kimball,44069
Knox,48268
Lancaster,49889
Lincoln,46623
Logan,37603
Loup,45361
McPherson,45530
Madison,50630
Merrick,47386
Morrill,49071
Nance,38000
Nemaha,48807
Nuckolls,50836
Otoe,53850
Pawnee,48851
Perkins,55692
Phelps,52792
Pierce,57141
Platte,49386
Polk,51004
Red Willow,46270
Richardson,48195
Rock,49241
Saline,43763
Sarpy,50333
Saunders,52193
Scotts Bluff,44171
Seward,49832
Sheridan,47076
Sherman,44953
Sioux,42404
Stanton,48167
Thayer,57523
Thomas,53979
Thurston,41468
Valley,45713
Washington,56640
Wayne,44622
Webster,48607
Wheeler,72878
York,49892
Churchill,43661
Clark,47090
Douglas,75159
Elko,46808
Esmeralda,40113
Eureka,39903
Humboldt,46927
Lander,63923
Lincoln,36604
Lyon,38713
Mineral,38074
Nye,37835
Pershing,32592
Storey,59651
Washoe,59639
White Pine,44736
Carson City,50754
Belknap,61091
Carroll,58949
Cheshire,51969
Coos,43098
Grafton,60426
Hillsborough,61147
Merrimack,57924
Rockingham,73819
Strafford,50574
Sullivan,51682
Atlantic,48668
Bergen,85951
Burlington,62120
Camden,54103
Cape May,60877
Cumberland,40289
Essex,67459
Gloucester,54745
Hudson,65139
Hunterdon,89610
Mercer,69344
Middlesex,61065
Monmouth,79978
Morris,98842
Ocean,52008
Passaic,50570
Salem,48496
Somerset,106194
Sussex,61757
Union,68262
Warren,56058
Bernalillo,44057
Catron,32010
Chaves,40322
Cibola,28130
Colfax,39826
Curry,44161
De Baca,39634
Dona Ana,36570
Eddy,54122
Grant,41026
Guadalupe,32994
Harding,38716
Hidalgo,41555
Lea,44437
Lincoln,41793
Los Alamos,70600
Luna,31140
McKinley,27771
Mora,35534
Otero,34636
Quay,38223
Rio Arriba,34582
Roosevelt,39446
Sandoval,41547
San Juan,35453
San Miguel,34579
Santa Fe,58510
Sierra,38984
Socorro,34699
Taos,38455
Torrance,30245
Union,32620
Valencia,33424
Albany,61201
Allegany,34880
Bronx,37376
Broome,44540
Cattaraugus,39995
Cayuga,42231
Chautauqua,40759
Chemung,44373
Chenango,41840
Clinton,44081
Columbia,55810
Cortland,40691
Delaware,39632
Dutchess,56365
Erie,51539
Essex,45996
Franklin,37644
Fulton,43112
Genesee,43582
Greene,47008
Hamilton,54086
Herkimer,41581
Jefferson,46924
Kings,52192
Lewis,43971
Livingston,45908
Madison,44502
Monroe,52951
Montgomery,41628
Nassau,89839
New York,193940
Niagara,45501
Oneida,44697
Onondaga,52886
Ontario,53498
Orange,51848
Orleans,38963
Oswego,40538
Otsego,43522
Putnam,65833
Queens,49777
Rensselaer,49156
Richmond,56749
Rockland,60464
St. Lawrence,37940
Saratoga,67618
Schenectady,50533
Schoharie,40791
Schuyler,42063
Seneca,38593
Steuben,45194
Suffolk,68617
Sullivan,46303
Tioga,45910
Tompkins,45282
Ulster,50462
Warren,52475
Washington,40043
Wayne,46048
Westchester,108976
Wyoming,39801
Yates,39402
Alamance,39342
Alexander,37438
Alleghany,37549
Anson,34616
Ashe,36300
Avery,36574
Beaufort,41643
Bertie,34766
Bladen,34306
Brunswick,42749
Buncombe,48592
Burke,35265
Cabarrus,45220
Caldwell,35374
Camden,45335
Carteret,49360
Caswell,35591
Catawba,45342
Chatham,63041
Cherokee,32266
Chowan,40817
Clay,34057
Cleveland,37661
Columbus,32397
Craven,43665
Cumberland,38780
Currituck,45435
Dare,56314
Davidson,39087
Davie,47630
Duplin,33619
Durham,50698
Edgecombe,34946
Forsyth,48804
Franklin,36238
Gaston,41379
Gates,36060
Graham,33075
Granville,38652
Greene,32569
Guilford,45875
Halifax,36013
Harnett,34604
Haywood,40290
Henderson,43276
Hertford,32702
Hoke,31148
Hyde,43490
Iredell,50065
Jackson,32844
Johnston,39922
Jones,38536
Lee,40098
Lenoir,40922
Lincoln,45791
McDowell,34077
Macon,40057
Madison,34036
Martin,34647
Mecklenburg,61137
Mitchell,35932
Montgomery,35611
Moore,51307
Nash,42016
New Hanover,45290
Northampton,34185
Onslow,46142
Orange,67385
Pamlico,43532
Pasquotank,39417
Pender,35914
Perquimans,40781
Person,38202
Pitt,41191
Polk,45291
Randolph,37017
Richmond,35148
Robeson,29438
Rockingham,37137
Rowan,38089
Rutherford,32764
Sampson,35900
Scotland,33229
Stanly,39047
Stokes,36850
Surry,38522
Swain,38429
Transylvania,42070
Tyrrell,30000
Union,51326
Vance,35105
Wake,59014
Warren,30397
Washington,36073
Watauga,36684
Wayne,38472
Wilkes,36576
Wilson,40501
Yadkin,37027
Yancey,36715
Adams,59197
Barnes,55784
Benson,34482
Billings,74682
Bottineau,58823
Bowman,60829
Burke,63721
Burleigh,58173
Cass,56070
Cavalier,68040
Dickey,52437
Divide,48574
Dunn,60338
Eddy,54013
Emmons,49489
Foster,62928
Golden Valley,43871
Grand Forks,51494
Grant,38371
Griggs,55349
Hettinger,51130
Kidder,50285
LaMoure,56134
Logan,60543
McHenry,52233
McIntosh,59596
McKenzie,62549
McLean,54518
Mercer,57839
Morton,52153
Mountrail,58955
Nelson,60817
Oliver,48290
Pembina,50088
Pierce,52070
Ramsey,47425
Ransom,55912
Renville,60976
Richland,53007
Rolette,36647
Sargent,65448
Sheridan,35497
Sioux,27662
Slope,49476
Stark,61032
Steele,63327
Stutsman,54491
Towner,53786
Traill,51103
Walsh,48945
Ward,55214
Wells,55328
Williams,68874
Adams,34632
Allen,42816
Ashland,38441
Ashtabula,38461
Athens,33274
Auglaize,49578
Belmont,42429
Brown,37259
Butler,47408
Carroll,39698
Champaign,41055
Clark,40769
Clermont,53770
Clinton,45728
Columbiana,38013
Coshocton,34856
Crawford,38704
Cuyahoga,54739
Darke,42793
Defiance,41540
Delaware,74093
Erie,62591
Fairfield,46113
Fayette,38449
Franklin,50443
Fulton,45594
Gallia,39864
Geauga,69129
Greene,50291
Guernsey,39878
Hamilton,59561
Hancock,51623
Hardin,33482
Harrison,38573
Henry,45884
Highland,36326
Hocking,38047
Holmes,45211
Huron,40323
Jackson,35783
Jefferson,39311
Knox,42162
Lake,50729
Lawrence,38673
Licking,46059
Logan,42914
Lorain,46147
Lucas,46290
Madison,41751
Mahoning,43097
Marion,38252
Medina,55691
Meigs,34067
Mercer,51562
Miami,47552
Monroe,34665
Montgomery,46891
Morgan,33180
Morrow,38666
Muskingum,40614
Noble,27211
Ottawa,51637
Paulding,41032
Perry,37187
Pickaway,41131
Pike,37443
Portage,44055
Preble,40607
Putnam,50059
Richland,39234
Ross,36941
Sandusky,41624
Scioto,39080
Seneca,39681
Shelby,46188
Stark,45136
Summit,51036
Trumbull,41363
Tuscarawas,43358
Union,55470
Van Wert,42638
Vinton,33120
Warren,59799
Washington,43396
Wayne,44039
Williams,41712
Wood,47694
Wyandot,45588
Adair,28862
Alfalfa,40624
Atoka,32379
Beaver,49106
Beckham,37948
Blaine,41493
Bryan,34575
Caddo,35239
Canadian,44878
Carter,43079
Cherokee,32290
Choctaw,31885
Cimarron,60706
Cleveland,45094
Coal,33783
Comanche,41497
Cotton,41766
Craig,35718
Creek,40791
Custer,41652
Delaware,31188
Dewey,44529
Ellis,51570
Garfield,44465
Garvin,38135
Grady,39675
Grant,45182
Greer,26344
Harmon,35642
Harper,46436
Haskell,32365
Hughes,31833
Jackson,38527
Jefferson,32083
Johnston,36611
Kay,40881
Kingfisher,49257
Kiowa,32546
Latimer,32707
Le Flore,32677
Lincoln,35653
Logan,43169
Love,37547
McClain,45143
McCurtain,31648
McIntosh,33267
Major,43762
Marshall,32681
Mayes,35197
Murray,42289
Muskogee,36759
Noble,41401
Nowata,36165
Okfuskee,30092
Oklahoma,52168
Okmulgee,33971
Osage,34971
Ottawa,35746
Pawnee,35836
Payne,37159
Pittsburg,38551
Pontotoc,43148
Pottawatomie,37456
Pushmataha,31395
Roger Mills,48554
Rogers,45815
Seminole,34054
Sequoyah,33420
Stephens,41413
Texas,46597
Tillman,39961
Tulsa,62756
Wagoner,39550
Washington,64481
Washita,36490
Woods,42890
Woodward,43906
Baker,40699
Benton,47019
Clackamas,58608
Clatsop,45069
Columbia,44312
Coos,43620
Crook,40945
Curry,42657
Deschutes,55143
Douglas,40408
Gilliam,48448
Grant,41939
Harney,39122
Hood River,56624
Jackson,46603
Jefferson,32962
Josephine,40977
Klamath,39891
Lake,39797
Lane,45919
Lincoln,44119
Linn,42891
Malheur,30992
Marion,43042
Morrow,39095
Multnomah,57850
Polk,41379
Sherman,52296
Tillamook,44492
Umatilla,39684
Union,40547
Wallowa,45099
Wasco,43658
Washington,60971
Wheeler,37142
Yamhill,45478
Adams,49173
Allegheny,62958
Armstrong,45510
Beaver,48763
Bedford,42889
Berks,49945
Blair,46743
Bradford,41331
Bucks,73447
Butler,58927
Cambria,43420
Cameron,48651
Carbon,50322
Centre,46193
Chester,82846
Clarion,41732
Clearfield,44421
Clinton,39716
Columbia,42211
Crawford,40969
Cumberland,55141
Dauphin,51100
Delaware,66617
Elk,48886
Erie,44903
Fayette,42649
Forest,22787
Franklin,46403
Fulton,45522
Greene,44751
Huntingdon,38558
Indiana,39923
Jefferson,44136
Juniata,45277
Lackawanna,47730
Lancaster,52664
Lawrence,43929
Lebanon,48352
Lehigh,53614
Luzerne,45219
Lycoming,43823
McKean,45261
Mercer,43024
Mifflin,39738
Monroe,42722
Montgomery,80606
Montour,57426
Northampton,54859
Northumberland,41712
Perry,44693
Philadelphia,55747
Pike,47864
Potter,42819
Schuylkill,42862
Snyder,42449
Somerset,42179
Sullivan,46097
Susquehanna,45336
Tioga,41039
Union,41246
Venango,42223
Warren,42875
Washington,59568
Wayne,43996
Westmoreland,52200
Wyoming,45285
York,50113
Bristol,78805
Kent,59665
Newport,68679
Providence,48137
Washington,64158
Abbeville,34108
Aiken,42511
Allendale,33237
Anderson,39710
Bamberg,32858
Barnwell,33363
Beaufort,56711
Berkeley,40415
Calhoun,38451
Charleston,61477
Cherokee,33197
Chester,34014
Chesterfield,31012
Clarendon,33197
Colleton,35697
Darlington,37475
Dillon,27718
Dorchester,38892
Edgefield,36436
Fairfield,36758
Florence,41833
Georgetown,47071
Greenville,48644
Greenwood,37424
Hampton,32473
Horry,37091
Jasper,29242
Kershaw,41227
Lancaster,49127
Laurens,34622
Lee,32708
Lexington,46513
McCormick,38513
Marion,31492
Marlboro,31562
Newberry,37793
Oconee,43312
Orangeburg,33818
Pickens,38344
Richland,45529
Saluda,34455
Spartanburg,43148
Sumter,38603
Union,32745
Williamsburg,32726
York,46667
Aurora,45253
Beadle,49246
Bennett,29462
Bon Homme,38851
Brookings,46302
Brown,52652
Brule,46570
Buffalo,23341
Butte,38639
Campbell,50232
Charles Mix,44877
Clark,48261
Clay,39485
Codington,49518
Corson,29927
Custer,48334
Davison,50794
Day,47352
Deuel,51766
Dewey,35720
Douglas,57808
Edmunds,52029
Fall River,46885
Faulk,42762
Grant,57069
Gregory,48209
Haakon,49880
Hamlin,44209
Hand,55673
Hanson,66614
Harding,51036
Hughes,52986
Hutchinson,53179
Hyde,52133
Jackson,26835
Jerauld,54425
Jones,60001
Kingsbury,50975
Lake,52401
Lawrence,50232
Lincoln,67364
Lyman,47431
McCook,52453
McPherson,38625
Marshall,48721
Meade,43015
Mellette,28152
Miner,52938
Minnehaha,57223
Moody,49690
Oglala Lakota,25047
Pennington,51369
Perkins,42195
Potter,70768
Roberts,36929
Sanborn,48731
Spink,52479
Stanley,73776
Sully,76036
Todd,25157
Tripp,49835
Turner,62019
Union,107497
Walworth,45924
Yankton,50275
Ziebach,20571
Anderson,41853
Bedford,37266
Benton,33661
Bledsoe,26281
Blount,42991
Bradley,39099
Campbell,33967
Cannon,36113
Carroll,35900
Carter,34579
Cheatham,43932
Chester,33642
Claiborne,35384
Clay,31013
Cocke,31942
Coffee,38656
Crockett,36560
Cumberland,36613
Davidson,66060
Decatur,42639
DeKalb,40132
Dickson,40556
Dyer,40642
Fayette,55364
Fentress,32232
Franklin,38880
Gibson,38654
Giles,38766
Grainger,33490
Greene,39971
Grundy,31011
Hamblen,36636
Hamilton,51743
Hancock,27042
Hardeman,29430
Hardin,39387
Hawkins,34188
Haywood,32023
Henderson,35748
Henry,41989
Hickman,32780
Houston,32822
Humphreys,38665
Jackson,31189
Jefferson,35866
Johnson,32249
Knox,49738
Lake,23230
Lauderdale,29187
Lawrence,35252
Lewis,34432
Lincoln,41388
Loudon,48491
McMinn,35897
McNairy,32573
Macon,33297
Madison,42720
Marion,38450
Marshall,37550
Maury,42696
Meigs,33526
Monroe,33338
Montgomery,41031
Moore,41276
Morgan,29380
Obion,40666
Overton,33701
Perry,34268
Pickett,39686
Polk,33772
Putnam,39509
Rhea,34147
Roane,40980
Robertson,42104
Rutherford,41031
Scott,29758
Sequatchie,38003
Sevier,39474
Shelby,49465
Smith,37742
Stewart,39853
Sullivan,42606
Sumner,48656
Tipton,38547
Trousdale,30090
Unicoi,37423
Union,31693
Van Buren,30770
Warren,33970
Washington,43299
Wayne,28962
Weakley,37316
White,32477
Williamson,94872
Wilson,49092
Anderson,34242
Andrews,50011
Angelina,38897
Aransas,48389
Archer,50310
Armstrong,47995
Atascosa,36660
Austin,50702
Bailey,42507
Bandera,43459
Bastrop,36561
Baylor,41704
Bee,28457
Bell,42773
Bexar,46058
Blanco,51968
Borden,63756
Bosque,41592
Bowie,40010
Brazoria,47239
Brazos,39216
Brewster,45652
Briscoe,35243
Brooks,33861
Brown,38830
Burleson,42629
Burnet,46516
Caldwell,33668
Calhoun,38668
Callahan,39392
Cameron,28756
Camp,38660
Carson,46373
Cass,36905
Castro,42786
Chambers,53673
Cherokee,34468
Childress,30084
Clay,42335
Cochran,38312
Coke,41895
Coleman,40669
Collin,65874
Collingsworth,33039
Colorado,46821
Comal,58067
Comanche,42465
Concho,19801
Cooke,54174
Coryell,33996
Cottle,57288
Crane,47758
Crockett,41472
Crosby,30773
Culberson,54180
Dallam,52148
Dallas,58993
Dawson,37111
Deaf Smith,40470
Delta,34803
Denton,55933
DeWitt,54549
Dickens,31586
Dimmit,36639
Donley,45736
Duval,36418
Eastland,71142
Ector,47271
Edwards,35182
Ellis,44313
El Paso,35856
Erath,39572
Falls,34619
Fannin,37605
Fayette,53564
Fisher,46444
Floyd,37367
Foard,42954
Fort Bend,57540
Franklin,39730
Freestone,37066
Frio,27545
Gaines,36009
Galveston,51785
Garza,30072
Gillespie,60561
Glasscock,102145
Goliad,43858
Gonzales,43342
Gray,44002
Grayson,42195
Gregg,45401
Grimes,35450
Guadalupe,44809
Hale,32263
Hall,30180
Hamilton,60744
Hansford,62998
Hardeman,38212
Hardin,45982
Harris,56474
Harrison,41917
Hartley,62463
Haskell,34530
Hays,43719
Hemphill,58484
Henderson,39627
Hidalgo,26410
Hill,39205
Hockley,38975
Hood,50741
Hopkins,39120
Houston,38081
Howard,40255
Hudspeth,32472
Hunt,38029
Hutchinson,41550
Irion,68327
Jack,44061
Jackson,41770
Jasper,40803
Jeff Davis,42947
Jefferson,44065
Jim Hogg,30696
Jim Wells,40570
Johnson,41697
Jones,30559
Karnes,49593
Kaufman,42837
Kendall,84270
Kenedy,43561
Kent,54858
Kerr,50150
Kimble,43309
King,55661
Kinney,30431
Kleberg,38997
Knox,38457
Lamar,40763
Lamb,38247
Lampasas,49457
La Salle,35809
Lavaca,50919
Lee,46713
Leon,40388
Liberty,37237
Limestone,35771
Lipscomb,64757
Live Oak,35636
Llano,47476
Loving,56730
Lubbock,42569
Lynn,33119
McCulloch,37927
McLennan,41254
McMullen,72150
Madison,30435
Marion,38063
Martin,56021
Mason,44601
Matagorda,40596
Maverick,30505
Medina,39403
Menard,35311
Midland,124455
Milam,36135
Mills,37153
Mitchell,31913
Montague,42074
Montgomery,63605
Moore,41275
Morris,43421
Motley,28938
Nacogdoches,37755
Navarro,37922
Newton,33350
Nolan,43087
Nueces,44378
Ochiltree,57287
Oldham,49120
Orange,44938
Palo Pinto,39125
Panola,43508
Parker,53289
Parmer,44981
Pecos,36584
Polk,39438
Potter,43945
Presidio,42848
Rains,33602
Randall,47966
Reagan,48253
Real,34687
Red River,40648
Reeves,39418
Refugio,42606
Roberts,41971
Robertson,40394
Rockwall,61003
Runnels,39816
Rusk,36485
Sabine,34631
San Augustine,39879
San Jacinto,34514
San Patricio,43945
San Saba,41233
Schleicher,40136
Scurry,42095
Shackelford,130461
Shelby,41666
Sherman,49508
Smith,55229
Somervell,45756
Starr,26316
Stephens,39289
Sterling,58174
Stonewall,53416
Sutton,61478
Swisher,41977
Tarrant,51239
Taylor,45333
Terrell,48024
Terry,32062
Throckmorton,35941
Titus,34718
Tom Green,45993
Travis,67504
Trinity,34514
Tyler,32081
Upshur,36645
Upton,44545
Uvalde,39458
Val Verde,36554
Van Zandt,38200
Victoria,46142
Walker,28016
Waller,39995
Ward,49916
Washington,52265
Webb,31635
Wharton,41473
Wheeler,41801
Wichita,43170
Wilbarger,42041
Willacy,28593
Williamson,50776
Wilson,44255
Winkler,57584
Wise,43752
Wood,38152
Yoakum,41112
Young,50231
Zapata,28294
Zavala,29202
Beaver,33739
Box Elder,37390
Cache,38974
Carbon,38499
Daggett,41157
Davis,46286
Duchesne,36709
Emery,33145
Garfield,36688
Grand,54010
Iron,32197
Juab,36087
Kane,40257
Millard,35196
Morgan,52426
Piute,33716
Rich,35436
Salt Lake,52639
San Juan,26638
Sanpete,29209
Sevier,34117
Summit,131606
Tooele,36836
Uintah,31563
Utah,40919
Wasatch,53285
Washington,38847
Wayne,39096
Weber,41853
Addison,51805
Bennington,54458
Caledonia,41246
Chittenden,60914
Essex,36008
Franklin,46220
Grand Isle,59204
Lamoille,53953
Orange,47170
Orleans,43542
Rutland,52343
Washington,60255
Windham,50925
Windsor,58116
Accomack,42764
Albemarle,
Alleghany,
Amelia,44774
Amherst,37160
Appomattox,38302
Arlington,95198
Augusta,
Bath,61628
Bedford,46707
Bland,37321
Botetourt,50274
Brunswick,32682
Buchanan,36229
Buckingham,30704
Campbell,
Caroline,41781
Carroll,
Charles City,45824
Charlotte,35970
Chesterfield,53695
Clarke,67111
Craig,38185
Culpeper,46510
Cumberland,38698
Dickenson,32354
Dinwiddie,
Essex,42334
Fairfax,
Fauquier,70787
Floyd,38903
Fluvanna,44693
Franklin,40781
Frederick,
Giles,40117
Gloucester,50502
Goochland,100545
Grayson,33013
Greene,44383
Greensville,
Halifax,37329
Hanover,60259
Henrico,66836
Henry,
Highland,46113
Isle of Wight,55308
James City,
King and Queen,43361
King George,53000
King William,46612
Lancaster,60152
Lee,30303
Loudoun,78070
Louisa,42476
Lunenburg,33755
Madison,48822
Mathews,56088
Mecklenburg,37240
Middlesex,51213
Montgomery,
Nelson,50717
New Kent,70743
Northampton,49313
Northumberland,52946
Nottoway,34897
Orange,49010
Page,39109
Patrick,34070
Pittsylvania,
Powhatan,56607
Prince Edward,31890
Prince George,
Prince William,
Pulaski,40443
Rappahannock,65538
Richmond,36799
Roanoke,
Rockbridge,
Rockingham,
Russell,33498
Scott,33769
Shenandoah,45387
Smyth,36955
Southampton,
Spotsylvania,
Stafford,55076
Surry,46413
Sussex,31378
Tazewell,38888
Warren,46743
Washington,
Westmoreland,43166
Wise,
Wythe,35608
York,
Alexandria City,
Bristol City,
Buena Vista City,
Charlottesville City,
Chesapeake City,
Colonial Heights City,
Covington City,
Danville City,
Emporia City,
Fairfax City,
Falls Church City,
Franklin City,
Fredericksburg City,
Galax City,
Hampton City,
Harrisonburg City,
Hopewell City,
Lexington City,
Lynchburg City,
Manassas City,
Manassas Park City,
Martinsville City,
Newport News City,
Norfolk City,
Norton City,
Petersburg City,
Poquoson City,
Portsmouth City,
Radford City,
Richmond City,
Roanoke City,
Salem City,
Staunton City,
Suffolk City,
Virginia Beach City,
Waynesboro City,
Williamsburg City,
Winchester City,
Adams,42800
Asotin,47104
Benton,47465
Chelan,54763
Clallam,46120
Clark,53423
Columbia,50073
Cowlitz,44990
Douglas,41508
Ferry,36071
Franklin,37390
Garfield,44510
Grant,39789
Grays Harbor,40429
Island,55724
Jefferson,52580
King,90438
Kitsap,56244
Kittitas,42603
Klickitat,48654
Lewis,43453
Lincoln,46312
Mason,42767
Okanogan,42462
Pacific,41740
Pend Oreille,41664
Pierce,52114
San Juan,76749
Skagit,53060
Skamania,45802
Snohomish,55888
Spokane,46466
Stevens,39505
Thurston,51684
Wahkiakum,42423
Walla Walla,46144
Whatcom,48792
Whitman,40935
Yakima,43379
Barbour,32290
Berkeley,41201
Boone,33592
Braxton,31594
Brooke,41740
Cabell,42939
Calhoun,30155
Clay,30925
Doddridge,28862
Fayette,34577
Gilmer,28917
Grant,36691
Greenbrier,38098
Hampshire,35068
Hancock,42128
Hardy,34150
Harrison,48226
Jackson,38147
Jefferson,49926
Kanawha,48435
Lewis,40653
Lincoln,30549
Logan,36525
McDowell,30451
Marion,41980
Marshall,41028
Mason,33318
Mercer,37452
Mineral,38815
Mingo,32051
Monongalia,44679
Monroe,30359
Morgan,34533
Nicholas,34102
Ohio,65100
Pendleton,35140
Pleasants,43883
Pocahontas,38172
Preston,35686
Putnam,46941
Raleigh,41115
Randolph,36533
Ritchie,37177
Roane,34770
Summers,32879
Taylor,40675
Tucker,41322
Tyler,37336
Upshur,33261
Wayne,33637
Webster,27816
Wetzel,36791
Wirt,32156
Wood,42669
Wyoming,30510
Adams,38736
Ashland,41106
Barron,49431
Bayfield,48542
Brown,52821
Buffalo,44756
Burnett,42706
Calumet,50776
Chippewa,46162
Clark,40228
Columbia,51147
Crawford,41485
Dane,61304
Dodge,44799
Door,63178
Douglas,43004
Dunn,39948
Eau Claire,48240
Florence,54346
Fond du Lac,48126
Forest,41517
Grant,43310
Green,51026
Green Lake,46152
Iowa,48073
Iron,51471
Jackson,46528
Jefferson,46241
Juneau,37898
Kenosha,46874
Kewaunee,46197
La Crosse,50107
Lafayette,43042
Langlade,43223
Lincoln,45766
Manitowoc,47675
Marathon,50111
Marinette,44014
Marquette,41182
Menominee,30371
Milwaukee,47589
Monroe,41779
Oconto,45609
Oneida,51715
Outagamie,51230
Ozaukee,83992
Pepin,47961
Pierce,45936
Polk,46514
Portage,45886
Price,45320
Racine,49749
Richland,43233
Rock,44204
Rusk,44199
St. Croix,55543
Sauk,48365
Sawyer,45915
Shawano,42290
Sheboygan,52851
Taylor,39051
Trempealeau,44698
Vernon,40356
Vilas,53983
Walworth,50023
Washburn,47218
Washington,58601
Waukesha,72650
Waupaca,45629
Waushara,41204
Winnebago,48101
Wood,46743
Albany,40444
Big Horn,36903
Campbell,52824
Carbon,58372
Converse,55011
Crook,46081
Fremont,43633
Goshen,43348
Hot Springs,55232
Johnson,51314
Laramie,52039
Lincoln,43049
Natrona,69379
Niobrara,51357
Park,54308
Platte,48442
Sheridan,58223
Sublette,51361
Sweetwater,53145
Teton,251728
Uinta,40280
Washakie,48184
Weston,44737
