County_Name,Natural_increase_in_population
Scotland,33
Scott,28
Shannon,11
Shelby,25
Stoddard,-60
Stone,-150
Sullivan,15
Taney,60
Texas,-22
Vernon,15
Warren,103
Washington,3
Wayne,-77
Webster,194
Worth,5
Wright,0
St. Louis City,859
Beaverhead,-22
Big Horn,112
Blaine,18
Broadwater,9
Carbon,-13
Carter,4
Cascade,269
Chouteau,-20
Custer,-22
Daniels,3
Dawson,-10
Deer Lodge,-51
Fallon,11
Fergus,-26
Flathead,196
Gallatin,650
Garfield,2
Glacier,96
Golden Valley,7
Granite,-18
Hill,128
Jefferson,-33
Judith Basin,-2
Lake,-14
Lewis and Clark,89
Liberty,-4
Lincoln,-124
McCone,1
Madison,-25
Meagher,-5
Mineral,-19
Missoula,244
Musselshell,-29
Park,-12
Petroleum,-6
Phillips,-5
Pondera,21
Powder River,4
Powell,-27
Prairie,5
Ravalli,-114
Richland,44
Roosevelt,35
Rosebud,39
Sanders,-16
Sheridan,-8
Silver Bow,-55
Stillwater,-5
Sweet Grass,1
Teton,16
Toole,19
Treasure,6
Valley,27
Wheatland,5
Wibaux,0
Yellowstone,372
Adams,75
Antelope,21
Arthur,0
Banner,6
Blaine,2
Boone,-6
Box Butte,27
Boyd,-5
Brown,-5
Buffalo,263
Burt,-34
Butler,2
Cass,35
Cedar,10
Chase,-8
Cherry,20
Cheyenne,2
Clay,11
Colfax,121
Cuming,22
Custer,-3
Dakota,232
Dawes,-4
Dawson,208
Deuel,-2
Dixon,21
Dodge,54
Douglas,4240
Dundy,-8
Fillmore,-1
Franklin,8
Frontier,9
Furnas,1
Gage,-27
Garden,1
Garfield,-11
Gosper,2
Grant,6
Greeley,6
Hall,430
Hamilton,22
Harlan,-8
Hayes,15
Hitchcock,-17
Holt,19
Hooker,-1
Howard,13
Jefferson,-9
Johnson,-16
Kearney,18
Keith,3
Keya Paha,-2
Kimball,-9
Knox,1
Lancaster,1738
Lincoln,68
Logan,-2
Loup,2
McPherson,1
Madison,128
Merrick,5
Morrill,3
Nance,9
Nemaha,34
Nuckolls,-18
Otoe,38
Pawnee,2
Perkins,7
Phelps,24
Pierce,20
Platte,180
Polk,-2
Red Willow,12
Richardson,-28
Rock,-1
Saline,59
Sarpy,1421
Saunders,45
Scotts Bluff,66
Seward,32
Sheridan,-6
Sherman,-1
Sioux,9
Stanton,30
Thayer,-26
Thomas,6
Thurston,69
Valley,0
Washington,31
Wayne,27
Webster,-8
Wheeler,2
York,35
Churchill,67
Clark,9129
Douglas,-262
Elko,404
Esmeralda,-1
Eureka,2
Humboldt,109
Lander,39
Lincoln,-7
Lyon,45
Mineral,-43
Nye,-356
Pershing,10
Storey,-10
Washoe,1227
White Pine,8
Carson City,-39
Belknap,-297
Carroll,-257
Cheshire,-82
Coos,-194
Grafton,-149
Hillsborough,758
Merrimack,-83
Rockingham,144
Strafford,91
Sullivan,-52
Atlantic,-75
Bergen,1905
Burlington,311
Camden,1182
Cape May,-565
Cumberland,322
Essex,3708
Gloucester,147
Hudson,5648
Hunterdon,-37
Mercer,1034
Middlesex,2623
Monmouth,-223
Morris,711
Ocean,1464
Passaic,2833
Salem,-72
Somerset,420
Sussex,-59
Union,2543
Warren,-42
Bernalillo,1181
Catron,-18
Chaves,184
Cibola,43
Colfax,-14
Curry,446
De Baca,-3
Dona Ana,1015
Eddy,255
Grant,-69
Guadalupe,-2
Harding,-7
Hidalgo,-10
Lea,579
Lincoln,-33
Los Alamos,62
Luna,65
McKinley,175
Mora,-7
Otero,319
Quay,-5
Rio Arriba,-42
Roosevelt,108
Sandoval,260
San Juan,301
San Miguel,-24
Santa Fe,-2
Sierra,-138
Socorro,27
Taos,-46
Torrance,3
Union,1
Valencia,133
Albany,248
Allegany,-15
Bronx,8529
Broome,-193
Cattaraugus,-47
Cayuga,30
Chautauqua,-116
Chemung,-84
Chenango,-65
Clinton,12
Columbia,-187
Cortland,50
Delaware,-226
Dutchess,-181
Erie,-9
Essex,-105
Franklin,-80
Fulton,-48
Genesee,-88
Greene,-156
Hamilton,-35
Herkimer,-99
Jefferson,994
Kings,19568
Lewis,51
Livingston,-74
Madison,40
Monroe,1069
Montgomery,80
Nassau,2689
New York,4797
Niagara,-315
Oneida,-8
Onondaga,738
Ontario,-100
Orange,2159
Orleans,-29
Oswego,117
Otsego,-163
Putnam,16
Queens,11073
Rensselaer,-62
Richmond,1175
Rockland,2913
St. Lawrence,-94
Saratoga,53
Schenectady,306
Schoharie,-76
Schuyler,-41
Seneca,5
Steuben,-41
Suffolk,1983
Sullivan,0
Tioga,-67
Tompkins,106
Ulster,-310
Warren,-145
Washington,-136
Wayne,68
Westchester,2601
Wyoming,-17
Yates,49
Alamance,330
Alexander,-36
Alleghany,-34
Anson,-19
Ashe,-134
Avery,-85
Beaufort,-189
Bertie,-101
Bladen,-131
Brunswick,-711
Buncombe,-287
Burke,-151
Cabarrus,912
Caldwell,-195
Camden,33
Carteret,-363
Caswell,-35
Catawba,-42
Chatham,-103
Cherokee,-130
Chowan,-55
Clay,-76
Cleveland,-117
Columbus,-203
Craven,305
Cumberland,2732
Currituck,25
Dare,-28
Davidson,-51
Davie,-21
Duplin,71
Durham,1951
Edgecombe,-45
Forsyth,1017
Franklin,83
Gaston,158
Gates,-46
Graham,-27
Granville,2
Greene,-17
Guilford,1509
Halifax,-166
Harnett,768
Haywood,-179
Henderson,-360
Hertford,-63
Hoke,485
Hyde,-16
Iredell,187
Jackson,-9
Johnston,753
Jones,-27
Lee,211
Lenoir,-160
Lincoln,-57
McDowell,-76
Macon,-84
Madison,-42
Martin,-67
Mecklenburg,7853
Mitchell,-82
Montgomery,-1
Moore,-30
Nash,20
New Hanover,163
Northampton,-124
Onslow,2857
Orange,303
Pamlico,-78
Pasquotank,93
Pender,91
Perquimans,-30
Person,-31
Pitt,621
Polk,-153
Randolph,-35
Richmond,3
Robeson,319
Rockingham,-303
Rowan,5
Rutherford,-200
Sampson,140
Scotland,9
Stanly,-6
Stokes,-169
Surry,-138
Swain,-78
Transylvania,-133
Tyrrell,-17
Union,910
Vance,46
Wake,6424
Warren,-106
Washington,-26
Watauga,-20
Wayne,224
Wilkes,-147
Wilson,0
Yadkin,-47
Yancey,-30
Adams,-8
Barnes,-36
Benson,70
Billings,5
Bottineau,-29
Bowman,1
Burke,9
Burleigh,421
Cass,1395
Cavalier,6
Dickey,6
Divide,1
Dunn,50
Eddy,-4
Emmons,-17
Foster,6
Golden Valley,11
Grand Forks,448
Grant,2
Griggs,-9
Hettinger,13
Kidder,11
LaMoure,11
Logan,-4
McHenry,4
McIntosh,-20
McKenzie,200
McLean,13
Mercer,7
Morton,144
Mountrail,89
Nelson,-27
Oliver,16
Pembina,-14
Pierce,-14
Ramsey,44
Ransom,-24
Renville,-9
Richland,64
Rolette,39
Sargent,12
Sheridan,5
Sioux,4
Slope,8
Stark,272
Steele,14
Stutsman,9
Towner,-3
Traill,4
Walsh,-4
Ward,608
Wells,-5
Williams,491
Adams,20
Allen,135
Ashland,6
Ashtabula,-32
Athens,-17
Auglaize,66
Belmont,-248
Brown,-28
Butler,988
Carroll,-34
Champaign,14
Clark,-107
Clermont,450
Clinton,12
Columbiana,-204
Coshocton,52
Crawford,-43
Cuyahoga,495
Darke,14
Defiance,37
Delaware,862
Erie,-138
Fairfield,326
Fayette,21
Franklin,8494
Fulton,58
Gallia,-36
Geauga,118
Greene,226
Guernsey,-36
Hamilton,2803
Hancock,159
Hardin,47
Harrison,-59
Henry,51
Highland,48
Hocking,-42
Holmes,456
Huron,109
Jackson,7
Jefferson,-279
Knox,111
Lake,-289
Lawrence,-183
Licking,262
Logan,51
Lorain,82
Lucas,737
Madison,47
Mahoning,-579
Marion,3
Medina,133
Meigs,-64
Mercer,259
Miami,103
Monroe,-80
Montgomery,556
Morgan,-25
Morrow,65
Muskingum,31
Noble,0
Ottawa,-195
Paulding,15
Perry,51
Pickaway,17
Pike,-45
Portage,-106
Preble,-22
Putnam,111
Richland,-78
Ross,-5
Sandusky,-21
Scioto,-133
Seneca,28
Shelby,171
Stark,-107
Summit,106
Trumbull,-438
Tuscarawas,50
Union,310
Van Wert,44
Vinton,-13
Warren,458
Washington,-131
Wayne,296
Williams,15
Wood,204
Wyandot,-32
Adair,24
Alfalfa,-7
Atoka,23
Beaver,6
Beckham,56
Blaine,12
Bryan,47
Caddo,-16
Canadian,737
Carter,16
Cherokee,22
Choctaw,-11
Cimarron,13
Cleveland,630
Coal,-1
Comanche,535
Cotton,-12
Craig,-77
Creek,-81
Custer,121
Delaware,-183
Dewey,-6
Ellis,-8
Garfield,243
Garvin,-23
Grady,35
Grant,-1
Greer,-2
Harmon,5
Harper,-13
Haskell,-16
Hughes,-14
Jackson,144
Jefferson,-22
Johnston,-17
Kay,-39
Kingfisher,35
Kiowa,6
Latimer,5
Le Flore,-87
Lincoln,-25
Logan,123
Love,1
McClain,28
McCurtain,15
McIntosh,-135
Major,12
Marshall,30
Mayes,-75
Murray,-41
Muskogee,-85
Noble,-5
Nowata,-9
Okfuskee,-28
Oklahoma,4011
Okmulgee,-127
Osage,-104
Ottawa,-61
Pawnee,-8
Payne,223
Pittsburg,-108
Pontotoc,-22
Pottawatomie,5
Pushmataha,-34
Roger Mills,14
Rogers,106
Seminole,-50
Sequoyah,-33
Stephens,-80
Texas,201
Tillman,-3
Tulsa,2615
Wagoner,157
Washington,-91
Washita,-24
Woods,-4
Woodward,25
Baker,-58
Benton,117
Clackamas,428
Clatsop,-21
Columbia,-4
Coos,-338
Crook,-7
Curry,-179
Deschutes,309
Douglas,-408
Gilliam,-11
Grant,-23
Harney,-15
Hood River,79
Jackson,-74
Jefferson,31
Josephine,-324
Klamath,-67
Lake,-45
Lane,-206
Lincoln,-224
Linn,202
Malheur,136
Marion,1517
Morrow,79
Multnomah,2288
Polk,145
Sherman,4
Tillamook,-73
Umatilla,284
Union,-3
Wallowa,-10
Wasco,0
Washington,3029
Wheeler,-8
Yamhill,192
Adams,-53
Allegheny,-1027
Armstrong,-238
Beaver,-565
Bedford,-106
Berks,823
Blair,-473
Bradford,-93
Bucks,-417
Butler,-262
Cambria,-509
Cameron,-33
Carbon,-212
Centre,42
Chester,1098
Clarion,-70
Clearfield,-211
Clinton,-28
Columbia,-215
Crawford,-53
Cumberland,262
Dauphin,775
Delaware,1012
Elk,-91
Erie,54
Fayette,-576
Forest,-59
Franklin,98
Fulton,-9
Greene,-69
Huntingdon,-178
Indiana,-136
Jefferson,-60
Juniata,24
Lackawanna,-493
Lancaster,1972
Lawrence,-227
Lebanon,77
Lehigh,926
Luzerne,-712
Lycoming,-187
McKean,-140
Mercer,-375
Mifflin,47
Monroe,-73
Montgomery,771
Montour,-10
Northampton,-219
Northumberland,-205
Perry,34
Philadelphia,5363
Pike,-116
Potter,-52
Schuylkill,-496
Snyder,41
Somerset,-300
Sullivan,-56
Susquehanna,-120
Tioga,-79
Union,-20
Venango,-228
Warren,-114
Washington,-583
Wayne,-239
Westmoreland,-1566
Wyoming,-62
York,747
Bristol,-180
Kent,-126
Newport,-122
Providence,1514
Washington,-407
Abbeville,-44
Aiken,6
Allendale,-21
Anderson,66
Bamberg,-72
Barnwell,-52
Beaufort,182
Berkeley,1127
Calhoun,-53
Charleston,1134
Cherokee,28
Chester,-66
Chesterfield,-75
Clarendon,-106
Colleton,-121
Darlington,-103
Dillon,41
Dorchester,563
Edgefield,-109
Fairfield,-99
Florence,56
Georgetown,-358
Greenville,1812
Greenwood,8
Hampton,-43
Horry,-718
Jasper,84
Kershaw,-69
Lancaster,-16
Laurens,-67
Lee,-107
Lexington,636
McCormick,-100
Marion,-103
Marlboro,-40
Newberry,-59
Oconee,-257
Orangeburg,-204
Pickens,-47
Richland,1399
Saluda,27
Spartanburg,719
Sumter,268
Union,-84
Williamsburg,-92
York,738
Aurora,15
Beadle,103
Bennett,23
Bon Homme,7
Brookings,239
Brown,148
Brule,28
Buffalo,-2
Butte,37
Campbell,6
Charles Mix,51
Clark,34
Clay,51
Codington,81
Corson,33
Custer,-21
Davison,45
Day,-17
Deuel,12
Dewey,66
Douglas,9
Edmunds,-5
Fall River,-54
Faulk,15
Grant,12
Gregory,-4
Haakon,9
Hamlin,64
Hand,9
Hanson,28
Harding,10
Hughes,67
Hutchinson,15
Hyde,9
Jackson,63
Jerauld,0
Jones,4
Kingsbury,16
Lake,16
Lawrence,-9
Lincoln,614
Lyman,40
McCook,25
McPherson,-1
Marshall,32
Meade,50
Mellette,10
Miner,6
Minnehaha,1458
Moody,27
Oglala Lakota,112
Pennington,575
Perkins,13
Potter,-5
Roberts,56
Sanborn,16
Spink,12
Stanley,30
Sully,5
Todd,107
Tripp,30
Turner,11
Union,73
Walworth,13
Yankton,54
Ziebach,-2
Anderson,-140
Bedford,196
Benton,-93
Bledsoe,-38
Blount,-159
Bradley,127
Campbell,-143
Cannon,25
Carroll,-98
Carter,-287
Cheatham,48
Chester,22
Claiborne,-94
Clay,-37
Cocke,-135
Coffee,42
Crockett,-32
Cumberland,-331
Davidson,4420
Decatur,-51
DeKalb,-7
Dickson,104
Dyer,-13
Fayette,-21
Fentress,-76
Franklin,-43
Gibson,-75
Giles,-70
Grainger,-74
Greene,-243
Grundy,-19
Hamblen,56
Hamilton,495
Hancock,-25
Hardeman,-71
Hardin,-119
Hawkins,-220
Haywood,-44
Henderson,-4
Henry,-181
Hickman,-28
Houston,-13
Humphreys,-24
Jackson,-69
Jefferson,-195
Johnson,-83
Knox,606
Lake,-35
Lauderdale,18
Lawrence,46
Lewis,-1
Lincoln,-47
Loudon,-129
McMinn,-65
McNairy,-103
Macon,60
Madison,208
Marion,-33
Marshall,67
Maury,307
Meigs,-21
Monroe,-91
Montgomery,2075
Moore,9
Morgan,-30
Obion,-89
Overton,-81
Perry,-2
Pickett,-32
Polk,-69
Putnam,98
Rhea,-17
Roane,-252
Robertson,205
Rutherford,2038
Scott,-30
Sequatchie,-2
Sevier,-38
Shelby,4410
Smith,-9
Stewart,-38
Sullivan,-450
Sumner,472
Tipton,55
Trousdale,16
Unicoi,-108
Union,-13
Van Buren,14
Warren,2
Washington,-142
Wayne,-72
Weakley,-48
White,-77
Williamson,1032
Wilson,468
Anderson,-166
Andrews,97
Angelina,74
Aransas,-172
Archer,-74
Armstrong,-1
Atascosa,275
Austin,54
Bailey,85
Bandera,-54
Bastrop,366
Baylor,-15
Bee,84
Bell,3636
Bexar,12520
Blanco,-56
Borden,0
Bosque,-68
Bowie,71
Brazoria,2183
Brazos,1479
Brewster,17
Briscoe,3
Brooks,24
Brown,-58
Burleson,-9
Burnet,-22
Caldwell,186
Calhoun,44
Callahan,-30
Cameron,3414
Camp,47
Carson,-12
Cass,-103
Castro,47
Chambers,286
Cherokee,169
Childress,17
Clay,-47
Cochran,31
Coke,-11
Coleman,-35
Collin,6343
Collingsworth,-5
Colorado,10
Comal,347
Comanche,-43
Concho,-5
Cooke,113
Coryell,427
Cottle,1
Crane,36
Crockett,8
Crosby,-1
Culberson,12
Dallam,126
Dallas,21327
Dawson,54
Deaf Smith,161
Delta,4
Denton,5650
DeWitt,-3
Dickens,-4
Dimmit,39
Donley,-6
Duval,18
Eastland,-58
Ector,1687
Edwards,3
Ellis,930
El Paso,6065
Erath,145
Falls,20
Fannin,-116
Fayette,-54
Fisher,-9
Floyd,18
Foard,-6
Fort Bend,5770
Franklin,-20
Freestone,-4
Frio,93
Gaines,309
Galveston,1009
Garza,18
Gillespie,-125
Glasscock,8
Goliad,10
Gonzales,74
Gray,5
Grayson,136
Gregg,318
Grimes,60
Guadalupe,682
Hale,128
Hall,-3
Hamilton,-25
Hansford,39
Hardeman,-9
Hardin,66
Harris,38765
Harrison,24
Hartley,39
Haskell,-24
Hays,1491
Hemphill,23
Henderson,-211
Hidalgo,9457
Hill,-23
Hockley,105
Hood,-109
Hopkins,58
Houston,-91
Howard,89
Hudspeth,20
Hunt,225
Hutchinson,41
Irion,4
Jack,6
Jackson,66
Jasper,-8
Jeff Davis,-3
Jefferson,785
Jim Hogg,-1
Jim Wells,103
Johnson,691
Jones,0
Karnes,8
Kaufman,740
Kendall,11
Kenedy,6
Kent,-2
Kerr,-217
Kimble,-18
King,4
Kinney,-3
Kleberg,157
Knox,4
Lamar,-42
Lamb,26
Lampasas,-6
La Salle,51
Lavaca,-17
Lee,44
Leon,-16
Liberty,380
Limestone,-26
Lipscomb,4
Live Oak,23
Llano,-187
Loving,1
Lubbock,1327
Lynn,28
McCulloch,-22
McLennan,1229
McMullen,0
Madison,32
Marion,-68
Martin,36
Mason,-7
Matagorda,149
Maverick,649
Medina,141
Menard,-10
Midland,1858
Milam,-17
Mills,-41
Mitchell,36
Montague,-54
Montgomery,3222
Moore,239
Morris,-12
Motley,-3
Nacogdoches,166
Navarro,141
Newton,-64
Nolan,14
Nueces,1491
Ochiltree,75
Oldham,12
Orange,74
Palo Pinto,9
Panola,-13
Parker,396
Parmer,85
Pecos,90
Polk,-146
Potter,506
Presidio,49
Rains,5
Randall,485
Reagan,40
Real,-21
Red River,-58
Reeves,80
Refugio,15
Roberts,-1
Robertson,41
Rockwall,428
Runnels,-17
Rusk,5
Sabine,-44
San Augustine,-40
San Jacinto,-17
San Patricio,331
San Saba,-14
Schleicher,-5
Scurry,21
Shackelford,-2
Shelby,44
Sherman,25
Smith,792
Somervell,-20
Starr,778
Stephens,10
Sterling,-6
Stonewall,-4
Sutton,10
Swisher,14
Tarrant,13716
Taylor,639
Terrell,-2
Terry,62
Throckmorton,-1
Titus,209
Tom Green,427
Travis,8951
Trinity,-93
Tyler,-81
Upshur,15
Upton,24
Uvalde,125
Val Verde,380
Van Zandt,-21
Victoria,340
Walker,-1
Waller,347
Ward,102
Washington,-19
Webb,3357
Wharton,144
Wheeler,-11
Wichita,222
Wilbarger,11
Willacy,69
Williamson,3676
Wilson,119
Winkler,78
Wise,154
Wood,-244
Yoakum,99
Young,-36
Zapata,104
Zavala,49
Beaver,54
Box Elder,431
Cache,1633
Carbon,47
Daggett,5
Davis,3682
Duchesne,224
Emery,18
Garfield,13
Grand,27
Iron,507
Juab,129
Kane,13
Millard,100
Morgan,99
Piute,1
Rich,20
Salt Lake,9789
San Juan,58
Sanpete,185
Sevier,122
Summit,257
Tooele,672
Uintah,305
Utah,9465
Wasatch,307
Washington,876
Wayne,7
Weber,2153
Addison,-42
Bennington,-124
Caledonia,-6
Chittenden,299
Essex,-8
Franklin,177
Grand Isle,11
Lamoille,47
Orange,-25
Orleans,-33
Rutland,-171
Washington,0
Windham,-78
Windsor,-100
Accomack,-105
Albemarle,167
Alleghany,-117
Amelia,0
Amherst,-76
Appomattox,-2
Arlington,1867
Augusta,-225
Bath,-32
Bedford,-188
Bland,-40
Botetourt,-130
Brunswick,-83
Buchanan,-125
Buckingham,-31
Campbell,-99
Caroline,54
Carroll,-184
Charles City,-40
Charlotte,-43
Chesterfield,1246
Clarke,-20
Craig,-23
Culpeper,192
Cumberland,-35
Dickenson,-82
Dinwiddie,-85
Essex,-10
Fairfax,8061
Fauquier,122
Floyd,-48
Fluvanna,77
Franklin,-225
Frederick,194
Giles,-51
Gloucester,-112
Goochland,-35
Grayson,-84
Greene,76
Greensville,-19
Halifax,-147
Hanover,59
Henrico,1030
Henry,-344
Highland,-14
Isle of Wight,-21
James City,-57
King and Queen,-35
King George,118
King William,63
Lancaster,-144
Lee,-132
Loudoun,3414
Louisa,5
Lunenburg,-42
Madison,1
Mathews,-59
Mecklenburg,-170
Middlesex,-59
Montgomery,135
Nelson,-12
New Kent,68
Northampton,-68
Northumberland,-93
Nottoway,-54
Orange,105
Page,-55
Patrick,-87
Pittsylvania,-275
Powhatan,5
Prince Edward,-26
Prince George,70
Prince William,4351
Pulaski,-144
Rappahannock,-19
Richmond,-34
Roanoke,-362
Rockbridge,-133
Rockingham,83
Russell,-128
Scott,-126
Shenandoah,-32
Smyth,-199
Southampton,-83
Spotsylvania,464
Stafford,960
Surry,-12
Sussex,-43
Tazewell,-213
Warren,62
Washington,-246
Westmoreland,-41
Wise,-143
Wythe,-98
York,73
Alexandria City,1784
Bristol City,-109
Buena Vista City,17
Charlottesville City,256
Chesapeake City,945
Colonial Heights City,71
Covington City,-6
Danville City,-215
Emporia City,-21
Fairfax City,470
Falls Church City,121
Franklin City,45
Fredericksburg City,228
Galax City,-47
Hampton City,379
Harrisonburg City,297
Hopewell City,51
Lexington City,57
Lynchburg City,405
Manassas City,543
Manassas Park City,-23
Martinsville City,-56
Newport News City,1095
Norfolk City,1244
Norton City,-7
Petersburg City,191
Poquoson City,-6
Portsmouth City,365
Radford City,47
Richmond City,991
Roanoke City,101
Salem City,-31
Staunton City,-10
Suffolk City,291
Virginia Beach City,2195
Waynesboro City,108
Williamsburg City,3
Winchester City,82
Adams,288
Asotin,-43
Benton,1111
Chelan,164
Clallam,-429
Clark,1808
Columbia,-6
Cowlitz,153
Douglas,217
Ferry,-17
Franklin,1113
Garfield,-1
Grant,767
Grays Harbor,-152
Island,154
Jefferson,-215
King,11271
Kitsap,648
Kittitas,119
Klickitat,-1
Lewis,-15
Lincoln,-13
Mason,-3
Okanogan,12
Pacific,-162
Pend Oreille,-42
Pierce,4214
San Juan,-44
Skagit,166
Skamania,5
Snohomish,4143
Spokane,1081
Stevens,-54
Thurston,758
Wahkiakum,-13
Walla Walla,35
Whatcom,542
Whitman,151
Yakima,1653
Barbour,-38
Berkeley,315
Boone,-72
Braxton,-50
Brooke,-104
Cabell,-77
Calhoun,-36
Clay,-21
Doddridge,-26
Fayette,-268
Gilmer,-32
Grant,-2
Greenbrier,-161
Hampshire,-55
Hancock,-197
Hardy,-15
Harrison,-181
Jackson,-85
Jefferson,80
Kanawha,-637
Lewis,-85
Lincoln,-105
Logan,-138
McDowell,-154
Marion,-79
Marshall,-112
Mason,-105
Mercer,-230
Mineral,-94
Mingo,-66
Monongalia,340
Monroe,-56
Morgan,-66
Nicholas,-107
Ohio,-185
Pendleton,0
Pleasants,-8
Pocahontas,-51
Preston,-55
Putnam,-92
Raleigh,-329
Randolph,-66
Ritchie,-74
Roane,-67
Summers,-57
Taylor,-70
Tucker,-68
Tyler,-34
Upshur,-64
Wayne,-207
Webster,-49
Wetzel,-102
Wirt,-7
Wood,-209
Wyoming,-166
Adams,-129
Ashland,12
Barron,16
Bayfield,-83
Brown,1377
Buffalo,3
Burnett,-44
Calumet,121
Chippewa,78
Clark,255
Columbia,83
Crawford,-30
Dane,2397
Dodge,-103
Door,-149
Douglas,-33
Dunn,110
Eau Claire,398
Florence,-20
Fond du Lac,157
Forest,-7
Grant,90
Green,-3
Green Lake,-13
Iowa,58
Iron,-58
Jackson,56
Jefferson,141
Juneau,15
Kenosha,462
Kewaunee,4
La Crosse,163
Lafayette,54
Langlade,-48
Lincoln,-27
Manitowoc,-59
Marathon,364
Marinette,-112
Marquette,-34
Menominee,15
Milwaukee,4715
Monroe,124
Oconto,-22
Oneida,-142
Outagamie,861
Ozaukee,14
Pepin,-15
Pierce,90
Polk,-42
Portage,155
Price,-23
Racine,593
Richland,-23
Rock,406
Rusk,-24
St. Croix,351
Sauk,122
Sawyer,-54
Shawano,73
Sheboygan,147
Taylor,22
Trempealeau,172
Vernon,86
Vilas,-126
Walworth,-23
Washburn,-92
Washington,124
Waukesha,264
Waupaca,-213
Waushara,-38
Winnebago,286
Wood,74
Albany,143
Big Horn,11
Campbell,274
Carbon,57
Converse,43
Crook,33
Fremont,20
Goshen,-10
Hot Springs,-34
Johnson,-25
Laramie,395
Lincoln,84
Natrona,219
Niobrara,14
Park,12
Platte,-35
Sheridan,-38
Sublette,8
Sweetwater,208
Teton,153
Uinta,119
Washakie,-7
Weston,-14
