County_Name,mental_health_provider
Randolph,1126
Ray,2543
Reynolds,521
Ripley,1489
St. Charles,660
St. Clair,4698
Ste. Genevieve,1052
St. Francois,388
St. Louis,348
Saline,715
Schuyler,0
Scotland,2483
Scott,652
Shannon,8189
Shelby,0
Stoddard,2086
Stone,2646
Sullivan,0
Taney,1269
Texas,2557
Vernon,247
Warren,1827
Washington,1559
Wayne,1640
Webster,1700
Worth,0
Wright,919
St. Louis City,275
Beaverhead,495
Big Horn,1213
Blaine,851
Broadwater,1217
Carbon,1339
Carter,0
Cascade,306
Chouteau,1436
Custer,276
Daniels,0
Dawson,482
Deer Lodge,212
Fallon,0
Fergus,427
Flathead,344
Gallatin,320
Garfield,1268
Glacier,598
Golden Valley,34
Granite,3378
Hill,297
Jefferson,1210
Judith Basin,1952
Lake,420
Lewis and Clark,219
Liberty,0
Lincoln,508
McCone,0
Madison,2192
Meagher,1866
Mineral,617
Missoula,213
Musselshell,2326
Park,398
Petroleum,21
Phillips,1019
Pondera,747
Powder River,0
Powell,1161
Prairie,0
Ravalli,480
Richland,839
Roosevelt,527
Rosebud,412
Sanders,329
Sheridan,685
Silver Bow,185
Stillwater,1907
Sweet Grass,1237
Teton,1027
Toole,693
Treasure,28
Valley,826
Wheatland,1118
Wibaux,0
Yellowstone,295
Adams,256
Antelope,2112
Arthur,19
Banner,30
Blaine,19
Boone,5239
Box Butte,539
Boyd,0
Brown,2973
Buffalo,290
Burt,6488
Butler,8058
Cass,2907
Cedar,8446
Chase,0
Cherry,5761
Cheyenne,931
Clay,6214
Colfax,0
Cuming,993
Custer,1355
Dakota,427
Dawes,459
Dawson,912
Deuel,0
Dixon,5709
Dodge,708
Douglas,248
Dundy,0
Fillmore,425
Franklin,1512
Frontier,2608
Furnas,4715
Gage,614
Garden,0
Garfield,0
Gosper,1996
Grant,27
Greeley,0
Hall,289
Hamilton,1031
Harlan,0
Hayes,38
Hitchcock,0
Holt,509
Hooker,28
Howard,3234
Jefferson,1774
Johnson,5134
Kearney,2181
Keith,729
Keya Paha,33
Kimball,0
Knox,1403
Lancaster,268
Lincoln,409
Logan,31
Loup,25
McPherson,20
Madison,191
Merrick,3867
Morrill,0
Nance,0
Nemaha,3479
Nuckolls,1398
Otoe,1332
Pawnee,2632
Perkins,0
Phelps,692
Pierce,7142
Platte,513
Polk,5278
Red Willow,596
Richardson,992
Rock,453
Saline,1594
Sarpy,992
Saunders,2663
Scotts Bluff,364
Seward,666
Sheridan,371
Sherman,3038
Sioux,0
Stanton,5970
Thayer,1260
Thomas,30
Thurston,304
Valley,599
Washington,2296
Wayne,1175
Webster,1767
Wheeler,33
York,810
Churchill,470
Clark,505
Douglas,850
Elko,1590
Esmeralda,34
Eureka,0
Humboldt,987
Lander,1858
Lincoln,2601
Lyon,689
Mineral,1129
Nye,597
Pershing,1667
Storey,672
Washoe,314
White Pine,296
Carson City,396
Belknap,183
Carroll,439
Cheshire,306
Coos,526
Grafton,224
Hillsborough,327
Merrimack,244
Rockingham,431
Strafford,399
Sullivan,575
Atlantic,632
Bergen,413
Burlington,146
Camden,335
Cape May,985
Cumberland,1063
Essex,474
Gloucester,865
Hudson,1569
Hunterdon,414
Mercer,311
Middlesex,547
Monmouth,381
Morris,369
Ocean,637
Passaic,818
Salem,934
Somerset,372
Sussex,629
Union,535
Warren,494
Bernalillo,218
Catron,1789
Chaves,799
Cibola,301
Colfax,108
Curry,172
De Baca,119
Dona Ana,339
Eddy,827
Grant,191
Guadalupe,63
Harding,27
Hidalgo,471
Lea,881
Lincoln,192
Los Alamos,490
Luna,648
McKinley,593
Mora,901
Otero,375
Quay,70
Rio Arriba,203
Roosevelt,368
Sandoval,298
San Juan,448
San Miguel,101
Santa Fe,141
Sierra,499
Socorro,598
Taos,123
Torrance,678
Union,111
Valencia,458
Albany,281
Allegany,451
Bronx,486
Broome,469
Cattaraugus,800
Cayuga,528
Chautauqua,603
Chemung,347
Chenango,511
Clinton,381
Columbia,587
Cortland,286
Delaware,810
Dutchess,353
Erie,324
Essex,643
Franklin,364
Fulton,531
Genesee,618
Greene,1187
Hamilton,1478
Herkimer,2061
Jefferson,484
Kings,456
Lewis,472
Livingston,854
Madison,506
Monroe,364
Montgomery,1178
Nassau,331
New York,116
Niagara,899
Oneida,609
Onondaga,395
Ontario,464
Orange,424
Orleans,1846
Oswego,737
Otsego,520
Putnam,294
Queens,615
Rensselaer,602
Richmond,436
Rockland,381
St. Lawrence,510
Saratoga,606
Schenectady,448
Schoharie,758
Schuyler,597
Seneca,553
Steuben,547
Suffolk,375
Sullivan,528
Tioga,736
Tompkins,270
Ulster,291
Warren,262
Washington,712
Wayne,958
Westchester,258
Wyoming,466
Yates,828
Alamance,736
Alexander,2335
Alleghany,446
Anson,957
Ashe,602
Avery,237
Beaufort,747
Bertie,2114
Bladen,1443
Brunswick,1121
Buncombe,163
Burke,357
Cabarrus,378
Caldwell,1641
Camden,2678
Carteret,626
Caswell,3783
Catawba,474
Chatham,813
Cherokee,692
Chowan,1002
Clay,796
Cleveland,740
Columbus,807
Craven,470
Cumberland,305
Currituck,3384
Dare,598
Davidson,998
Davie,1583
Duplin,1436
Durham,168
Edgecombe,1793
Forsyth,350
Franklin,1008
Gaston,428
Gates,11573
Graham,1061
Granville,295
Greene,5253
Guilford,358
Halifax,683
Harnett,1082
Haywood,261
Henderson,538
Hertford,483
Hoke,856
Hyde,5230
Iredell,533
Jackson,216
Johnston,1039
Jones,2409
Lee,627
Lenoir,718
Lincoln,1782
McDowell,591
Macon,464
Madison,605
Martin,1080
Mecklenburg,347
Mitchell,1250
Montgomery,826
Moore,435
Nash,855
New Hanover,245
Northampton,1968
Onslow,470
Orange,158
Pamlico,1267
Pasquotank,508
Pender,1173
Perquimans,2237
Person,1129
Pitt,280
Polk,542
Randolph,995
Richmond,623
Robeson,529
Rockingham,796
Rowan,446
Rutherford,689
Sampson,2892
Scotland,561
Stanly,456
Stokes,2165
Surry,899
Swain,356
Transylvania,403
Tyrrell,0
Union,822
Vance,479
Wake,332
Warren,1801
Washington,988
Watauga,246
Wayne,538
Wilkes,531
Wilson,612
Yadkin,1173
Yancey,527
Adams,1147
Barnes,1171
Benson,1741
Billings,38
Bottineau,6411
Bowman,0
Burke,0
Burleigh,390
Cass,359
Cavalier,3829
Dickey,2452
Divide,0
Dunn,0
Eddy,0
Emmons,0
Foster,1608
Golden Valley,221
Grand Forks,320
Grant,1187
Griggs,0
Hettinger,0
Kidder,0
LaMoure,4062
Logan,0
McHenry,0
McIntosh,0
McKenzie,13632
McLean,9541
Mercer,2067
Morton,4442
Mountrail,1703
Nelson,0
Oliver,0
Pembina,3474
Pierce,0
Ramsey,234
Ransom,1746
Renville,0
Richland,8120
Rolette,894
Sargent,0
Sheridan,0
Sioux,1453
Slope,31
Stark,620
Steele,0
Stutsman,299
Towner,313
Traill,0
Walsh,3556
Ward,458
Wells,0
Williams,707
Adams,693
Allen,462
Ashland,452
Ashtabula,659
Athens,192
Auglaize,2082
Belmont,523
Brown,1407
Butler,440
Carroll,2257
Champaign,923
Clark,680
Clermont,993
Clinton,416
Columbiana,978
Coshocton,1357
Crawford,729
Cuyahoga,263
Darke,1426
Defiance,434
Delaware,823
Erie,422
Fairfield,779
Fayette,896
Franklin,332
Fulton,729
Gallia,312
Geauga,470
Greene,368
Guernsey,535
Hamilton,268
Hancock,633
Hardin,1657
Harrison,3794
Henry,797
Highland,1076
Hocking,516
Holmes,7315
Huron,900
Jackson,635
Jefferson,553
Knox,711
Lake,481
Lawrence,413
Licking,788
Logan,810
Lorain,623
Lucas,342
Madison,1586
Mahoning,296
Marion,627
Medina,769
Meigs,1100
Mercer,1138
Miami,878
Monroe,3448
Montgomery,380
Morgan,859
Morrow,2065
Muskingum,607
Noble,1025
Ottawa,1274
Paulding,2084
Perry,801
Pickaway,754
Pike,142
Portage,481
Preble,1322
Putnam,1778
Richland,282
Ross,240
Sandusky,891
Scioto,252
Seneca,824
Shelby,1216
Stark,358
Summit,362
Trumbull,637
Tuscarawas,640
Union,792
Van Wert,1131
Vinton,1460
Warren,436
Washington,824
Wayne,304
Williams,1082
Wood,589
Wyandot,1994
Adair,425
Alfalfa,5754
Atoka,85
Beaver,0
Beckham,329
Blaine,263
Bryan,117
Caddo,2229
Canadian,491
Carter,212
Cherokee,241
Choctaw,118
Cimarron,0
Cleveland,299
Coal,2760
Comanche,310
Cotton,2888
Craig,174
Creek,400
Custer,171
Delaware,555
Dewey,0
Ellis,0
Garfield,223
Garvin,713
Grady,712
Grant,0
Greer,243
Harmon,2664
Harper,1266
Haskell,437
Hughes,741
Jackson,416
Jefferson,6123
Johnston,124
Kay,502
Kingfisher,633
Kiowa,546
Latimer,157
Le Flore,312
Lincoln,506
Logan,584
Love,1267
McClain,727
McCurtain,318
McIntosh,619
Major,1911
Marshall,295
Mayes,478
Murray,872
Muskogee,214
Noble,3763
Nowata,444
Okfuskee,302
Oklahoma,150
Okmulgee,330
Osage,1567
Ottawa,205
Pawnee,713
Payne,375
Pittsburg,127
Pontotoc,174
Pottawatomie,336
Pushmataha,100
Roger Mills,0
Rogers,420
Seminole,346
Sequoyah,346
Stephens,941
Texas,602
Tillman,525
Tulsa,216
Wagoner,691
Washington,334
Washita,1855
Woods,240
Woodward,263
Baker,155
Benton,112
Clackamas,322
Clatsop,346
Columbia,280
Coos,254
Crook,225
Curry,251
Deschutes,220
Douglas,358
Gilliam,631
Grant,287
Harney,167
Hood River,286
Jackson,223
Jefferson,432
Josephine,127
Klamath,213
Lake,525
Lane,116
Lincoln,226
Linn,576
Malheur,198
Marion,291
Morrow,129
Multnomah,120
Polk,358
Sherman,0
Tillamook,367
Umatilla,261
Union,331
Wallowa,393
Wasco,204
Washington,256
Wheeler,342
Yamhill,252
Adams,1210
Allegheny,308
Armstrong,960
Beaver,1005
Bedford,777
Berks,719
Blair,417
Bradford,1484
Bucks,411
Butler,624
Cambria,509
Cameron,4492
Carbon,1736
Centre,495
Chester,435
Clarion,760
Clearfield,376
Clinton,879
Columbia,1455
Crawford,773
Cumberland,506
Dauphin,444
Delaware,360
Elk,1160
Erie,508
Fayette,303
Forest,2426
Franklin,938
Fulton,2421
Greene,936
Huntingdon,941
Indiana,296
Jefferson,1408
Juniata,6176
Lackawanna,574
Lancaster,710
Lawrence,862
Lebanon,384
Lehigh,539
Luzerne,999
Lycoming,608
McKean,953
Mercer,615
Mifflin,1127
Monroe,878
Montgomery,300
Montour,194
Northampton,451
Northumberland,2846
Perry,3076
Philadelphia,384
Pike,1097
Potter,3324
Schuylkill,1353
Snyder,1689
Somerset,973
Sullivan,6071
Susquehanna,1624
Tioga,867
Union,746
Venango,675
Warren,940
Washington,947
Wayne,1282
Westmoreland,637
Wyoming,2080
York,854
Bristol,486
Kent,315
Newport,308
Providence,209
Washington,324
Abbeville,1636
Aiken,686
Allendale,890
Anderson,611
Bamberg,2379
Barnwell,640
Beaufort,660
Berkeley,925
Calhoun,4840
Charleston,285
Cherokee,1968
Chester,2481
Chesterfield,915
Clarendon,991
Colleton,897
Darlington,786
Dillon,827
Dorchester,815
Edgefield,1803
Fairfield,1018
Florence,470
Georgetown,1153
Greenville,440
Greenwood,320
Hampton,1290
Horry,670
Jasper,1931
Kershaw,781
Lancaster,2120
Laurens,1595
Lee,952
Lexington,633
McCormick,1568
Marion,1001
Marlboro,455
Newberry,1675
Oconee,1089
Orangeburg,664
Pickens,892
Richland,303
Saluda,1868
Spartanburg,879
Sumter,710
Union,1054
Williamsburg,805
York,606
Aurora,1401
Beadle,350
Bennett,3468
Bon Homme,6980
Brookings,819
Brown,283
Brule,872
Buffalo,407
Butte,2556
Campbell,0
Charles Mix,1556
Clark,0
Clay,1755
Codington,445
Corson,1041
Custer,1745
Davison,638
Day,0
Deuel,0
Dewey,2952
Douglas,2935
Edmunds,0
Fall River,188
Faulk,0
Grant,7147
Gregory,4212
Haakon,0
Hamlin,0
Hand,0
Hanson,0
Harding,0
Hughes,477
Hutchinson,3690
Hyde,0
Jackson,3307
Jerauld,0
Jones,38
Kingsbury,0
Lake,870
Lawrence,525
Lincoln,377
Lyman,1911
McCook,0
McPherson,0
Marshall,0
Meade,480
Mellette,0
Miner,0
Minnehaha,543
Moody,1316
Oglala Lakota,1192
Pennington,364
Perkins,487
Potter,2207
Roberts,1306
Sanborn,0
Spink,1624
Stanley,3022
Sully,0
Todd,1469
Tripp,288
Turner,4212
Union,1952
Walworth,698
Yankton,184
Ziebach,0
Anderson,1093
Bedford,1486
Benton,2312
Bledsoe,3689
Blount,806
Bradley,1067
Campbell,1979
Cannon,7231
Carroll,2001
Carter,3315
Cheatham,1444
Chester,1152
Claiborne,6351
Clay,0
Cocke,2104
Coffee,460
Crockett,14328
Cumberland,3141
Davidson,315
Decatur,976
DeKalb,2517
Dickson,1008
Dyer,1866
Fayette,13502
Fentress,3643
Franklin,2095
Gibson,4087
Giles,1967
Grainger,5786
Greene,1079
Grundy,2669
Hamblen,621
Hamilton,469
Hancock,0
Hardeman,870
Hardin,1074
Hawkins,5653
Haywood,0
Henderson,2142
Henry,568
Hickman,2506
Houston,516
Humphreys,1849
Jackson,0
Jefferson,3177
Johnson,1270
Knox,270
Lake,7411
Lauderdale,6456
Lawrence,1250
Lewis,2417
Lincoln,2843
Loudon,1658
McMinn,1440
McNairy,738
Macon,24265
Madison,395
Marion,3175
Marshall,2246
Maury,439
Meigs,12306
Monroe,2318
Montgomery,523
Moore,6411
Morgan,10790
Obion,2162
Overton,11034
Perry,1613
Pickett,0
Polk,16898
Putnam,451
Rhea,2542
Roane,2214
Robertson,1578
Rutherford,1058
Scott,1837
Sequatchie,4959
Sevier,1461
Shelby,694
Smith,6647
Stewart,3390
Sullivan,830
Sumner,1200
Tipton,1540
Trousdale,0
Unicoi,5920
Union,1790
Van Buren,5765
Warren,1514
Washington,320
Wayne,4140
Weakley,2785
White,6777
Williamson,581
Wilson,1803
Anderson,2322
Andrews,6043
Angelina,744
Aransas,1252
Archer,0
Armstrong,0
Atascosa,2516
Austin,2999
Bailey,3514
Bandera,1630
Bastrop,1740
Baylor,0
Bee,2328
Bell,463
Bexar,563
Blanco,11702
Borden,27
Bosque,4673
Bowie,1014
Brazoria,1487
Brazos,1151
Brewster,772
Briscoe,0
Brooks,7114
Brown,550
Burleson,9195
Burnet,1534
Caldwell,1311
Calhoun,7187
Callahan,13994
Cameron,1766
Camp,2172
Carson,0
Cass,4303
Castro,7665
Chambers,3859
Cherokee,1119
Childress,1458
Clay,0
Cochran,0
Coke,0
Coleman,8397
Collin,881
Collingsworth,2962
Colorado,5304
Comal,781
Comanche,2256
Concho,4276
Cooke,1691
Coryell,1918
Cottle,0
Crane,0
Crockett,0
Crosby,0
Culberson,0
Dallam,3600
Dallas,679
Dawson,12619
Deaf Smith,18760
Delta,2675
Denton,893
DeWitt,6729
Dickens,2249
Dimmit,3436
Donley,0
Duval,11212
Eastland,4581
Ector,2133
Edwards,1928
Ellis,1574
El Paso,1083
Erath,1088
Falls,5778
Fannin,980
Fayette,3621
Fisher,0
Floyd,0
Foard,0
Fort Bend,1422
Franklin,2692
Freestone,6603
Frio,3963
Gaines,10451
Galveston,901
Garza,0
Gillespie,1117
Glasscock,0
Goliad,3792
Gonzales,2975
Gray,4379
Grayson,817
Gregg,644
Grimes,9453
Guadalupe,3559
Hale,805
Hall,0
Hamilton,1212
Hansford,2732
Hardeman,1307
Hardin,2860
Harris,849
Harrison,3707
Hartley,5619
Haskell,1938
Hays,1035
Hemphill,3825
Henderson,1914
Hidalgo,1695
Hill,2020
Hockley,1532
Hood,1062
Hopkins,1534
Houston,4634
Howard,688
Hudspeth,0
Hunt,1287
Hutchinson,10599
Irion,0
Jack,8843
Jackson,7437
Jasper,2391
Jeff Davis,450
Jefferson,1049
Jim Hogg,0
Jim Wells,1201
Johnson,1405
Jones,19817
Karnes,7825
Kaufman,1090
Kendall,652
Kenedy,18
Kent,30
Kerr,345
Kimble,4362
King,11
Kinney,0
Kleberg,2395
Knox,0
Lamar,956
Lamb,4386
Lampasas,1930
La Salle,1883
Lavaca,6703
Lee,1714
Leon,8635
Liberty,5395
Limestone,2138
Lipscomb,0
Live Oak,6083
Llano,1804
Loving,6
Lubbock,644
Lynn,0
McCulloch,3994
McLennan,653
McMullen,31
Madison,3606
Marion,9928
Martin,0
Mason,2140
Matagorda,2437
Maverick,3440
Medina,2995
Menard,0
Midland,1166
Milam,3141
Mills,984
Mitchell,0
Montague,3919
Montgomery,1216
Moore,7162
Morris,4113
Motley,0
Nacogdoches,1027
Navarro,1549
Newton,6873
Nolan,1639
Nueces,867
Ochiltree,3316
Oldham,2131
Orange,4643
Palo Pinto,4813
Panola,11574
Parker,1870
Parmer,0
Pecos,3918
Polk,2382
Potter,499
Presidio,2316
Rains,2432
Randall,1145
Reagan,0
Real,1739
Red River,3044
Reeves,15695
Refugio,3516
Roberts,37
Robertson,17284
Rockwall,799
Runnels,2559
Rusk,4188
Sabine,10589
San Augustine,8232
San Jacinto,9573
San Patricio,2573
San Saba,3027
Schleicher,2895
Scurry,4217
Shackelford,1627
Shelby,1955
Sherman,0
Smith,875
Somervell,4508
Starr,5866
Stephens,4717
Sterling,0
Stonewall,681
Sutton,0
Swisher,0
Tarrant,821
Taylor,606
Terrell,34
Terry,12287
Throckmorton,1515
Titus,1573
Tom Green,675
Travis,362
Trinity,7370
Tyler,3616
Upshur,2579
Upton,0
Uvalde,1918
Val Verde,1893
Van Zandt,3112
Victoria,662
Walker,1812
Waller,4427
Ward,5860
Washington,1848
Webb,3171
Wharton,2448
Wheeler,1730
Wichita,664
Wilbarger,641
Willacy,4303
Williamson,901
Wilson,3348
Winkler,0
Wise,4269
Wood,2655
Yoakum,4296
Young,2005
Zapata,0
Zavala,2397
Beaver,1316
Box Elder,211
Cache,629
Carbon,520
Daggett,40
Davis,487
Duchesne,605
Emery,1001
Garfield,1016
Grand,425
Iron,324
Juab,189
Kane,593
Millard,813
Morgan,6023
Piute,161
Rich,2464
Salt Lake,201
San Juan,813
Sanpete,116
Sevier,431
Summit,567
Tooele,958
Uintah,754
Utah,384
Wasatch,950
Washington,369
Wayne,168
Weber,440
Addison,352
Bennington,215
Caledonia,281
Chittenden,161
Essex,2083
Franklin,412
Grand Isle,3545
Lamoille,216
Orange,302
Orleans,390
Rutland,330
Washington,185
Windham,147
Windsor,201
Accomack,982
Albemarle,730
Alleghany,3728
Amelia,1627
Amherst,6333
Appomattox,7921
Arlington,560
Augusta,1480
Bath,4292
Bedford,2187
Bland,3147
Botetourt,2560
Brunswick,3277
Buchanan,3537
Buckingham,2125
Campbell,9162
Caroline,3077
Carroll,2694
Charles City,6941
Charlotte,5969
Chesterfield,608
Clarke,1815
Craig,0
Culpeper,640
Cumberland,3270
Dickenson,1614
Dinwiddie,5706
Essex,5460
Fairfax,546
Fauquier,1285
Floyd,1755
Fluvanna,1913
Franklin,1756
Frederick,1803
Giles,8422
Gloucester,622
Goochland,1011
Grayson,3908
Greene,1413
Greensville,2325
Halifax,1034
Hanover,658
Henrico,358
Henry,8492
Highland,442
Isle of Wight,3695
James City,346
King and Queen,0
King George,2416
King William,1694
Lancaster,1198
Lee,841
Loudoun,695
Louisa,2829
Lunenburg,1727
Madison,3324
Mathews,2934
Mecklenburg,1095
Middlesex,1346
Montgomery,452
Nelson,873
New Kent,1120
Northampton,978
Northumberland,12147
Nottoway,1713
Orange,1832
Page,2659
Patrick,2525
Pittsylvania,5079
Powhatan,4170
Prince Edward,396
Prince George,952
Prince William,860
Pulaski,2620
Rappahannock,907
Richmond,603
Roanoke,394
Rockbridge,22752
Rockingham,6250
Russell,1216
Scott,769
Shenandoah,1977
Smyth,662
Southampton,0
Spotsylvania,1316
Stafford,1260
Surry,2158
Sussex,5619
Tazewell,552
Warren,1111
Washington,618
Westmoreland,8915
Wise,975
Wythe,543
York,1413
Alexandria City,306
Bristol City,1648
Buena Vista City,1247
Charlottesville City,113
Chesapeake City,963
Colonial Heights City,482
Covington City,364
Danville City,360
Emporia City,341
Fairfax City,75
Falls Church City,95
Franklin City,616
Fredericksburg City,158
Galax City,153
Hampton City,361
Harrisonburg City,232
Hopewell City,779
Lexington City,146
Lynchburg City,219
Manassas City,330
Manassas Park City,0
Martinsville City,258
Newport News City,672
Norfolk City,480
Norton City,331
Petersburg City,255
Poquoson City,2032
Portsmouth City,383
Radford City,834
Richmond City,278
Roanoke City,356
Salem City,129
Staunton City,166
Suffolk City,1013
Virginia Beach City,589
Waynesboro City,838
Williamsburg City,2128
Winchester City,168
Adams,581
Asotin,283
Benton,385
Chelan,264
Clallam,300
Clark,294
Columbia,338
Cowlitz,247
Douglas,1788
Ferry,403
Franklin,755
Garfield,2247
Grant,466
Grays Harbor,336
Island,352
Jefferson,248
King,234
Kitsap,304
Kittitas,607
Klickitat,691
Lewis,275
Lincoln,895
Mason,565
Okanogan,360
Pacific,302
Pend Oreille,439
Pierce,216
San Juan,241
Skagit,242
Skamania,852
Snohomish,306
Spokane,249
Stevens,271
Thurston,297
Wahkiakum,369
Walla Walla,348
Whatcom,222
Whitman,673
Yakima,320
Barbour,1102
Berkeley,595
Boone,3659
Braxton,2013
Brooke,7401
Cabell,370
Calhoun,3627
Clay,2158
Doddridge,8406
Fayette,1955
Gilmer,2675
Grant,1453
Greenbrier,1054
Hampshire,1459
Hancock,693
Hardy,2296
Harrison,479
Jackson,1248
Jefferson,1353
Kanawha,528
Lewis,553
Lincoln,1873
Logan,1208
McDowell,3037
Marion,1058
Marshall,5131
Mason,5344
Mercer,778
Mineral,1171
Mingo,743
Monongalia,396
Monroe,1660
Morgan,1976
Nicholas,1774
Ohio,326
Pendleton,1749
Pleasants,1501
Pocahontas,2805
Preston,5640
Putnam,1318
Raleigh,614
Randolph,824
Ritchie,2430
Roane,1161
Summers,851
Taylor,1533
Tucker,1391
Tyler,4373
Upshur,1221
Wayne,644
Webster,4143
Wetzel,1091
Wirt,1943
Wood,714
Wyoming,2598
Adams,2035
Ashland,318
Barron,1255
Bayfield,430
Brown,512
Buffalo,6563
Burnett,700
Calumet,3858
Chippewa,1106
Clark,2892
Columbia,896
Crawford,958
Dane,247
Dodge,945
Door,727
Douglas,864
Dunn,645
Eau Claire,320
Florence,4321
Fond du Lac,805
Forest,599
Grant,859
Green,1055
Green Lake,996
Iowa,1585
Iron,811
Jackson,640
Jefferson,1091
Juneau,807
Kenosha,882
Kewaunee,1699
La Crosse,320
Lafayette,556
Langlade,1070
Lincoln,1457
Manitowoc,1040
Marathon,523
Marinette,809
Marquette,1187
Menominee,423
Milwaukee,342
Monroe,667
Oconto,2702
Oneida,351
Outagamie,476
Ozaukee,417
Pepin,7289
Pierce,2128
Polk,495
Portage,815
Price,1914
Racine,700
Richland,756
Rock,544
Rusk,1768
St. Croix,754
Sauk,595
Sawyer,337
Shawano,591
Sheboygan,696
Taylor,851
Trempealeau,1963
Vernon,700
Vilas,1463
Walworth,879
Washburn,992
Washington,899
Waukesha,445
Waupaca,1345
Waushara,867
Winnebago,443
Wood,676
Albany,197
Big Horn,540
Campbell,491
Carbon,384
Converse,470
Crook,1863
Fremont,439
Goshen,227
Hot Springs,350
Johnson,353
Laramie,246
Lincoln,777
Natrona,240
Niobrara,2388
Park,296
Platte,428
Sheridan,207
Sublette,1227
Sweetwater,395
Teton,210
Uinta,282
Washakie,254
Weston,581
