County_Name,homicide_rate
St. Clair,
Ste. Genevieve,
St. Francois,5
St. Louis,11
Saline,
Schuyler,
Scotland,
Scott,6
Shannon,
Shelby,
Stoddard,
Stone,5
Sullivan,
Taney,3
Texas,10
Vernon,
Warren,5
Washington,
Wayne,
Webster,4
Worth,
Wright,
St. Louis City,38
Beaverhead,
Big Horn,17
Blaine,
Broadwater,
Carbon,
Carter,
Cascade,3
Chouteau,
Custer,
Daniels,
Dawson,
Deer Lodge,15
Fallon,
Fergus,
Flathead,2
Gallatin,1
Garfield,
Glacier,
Golden Valley,
Granite,
Hill,
Jefferson,
Judith Basin,
Lake,6
Lewis and Clark,3
Liberty,
Lincoln,
McCone,
Madison,
Meagher,
Mineral,
Missoula,2
Musselshell,
Park,
Petroleum,
Phillips,
Pondera,
Powder River,
Powell,
Prairie,
Ravalli,
Richland,
Roosevelt,14
Rosebud,
Sanders,
Sheridan,
Silver Bow,
Stillwater,
Sweet Grass,
Teton,
Toole,
Treasure,
Valley,
Wheatland,
Wibaux,
Yellowstone,3
Adams,
Antelope,
Arthur,
Banner,
Blaine,
Boone,
Box Butte,
Boyd,
Brown,
Buffalo,
Burt,
Butler,
Cass,
Cedar,
Chase,
Cherry,
Cheyenne,
Clay,
Colfax,
Cuming,
Custer,
Dakota,
Dawes,
Dawson,
Deuel,
Dixon,
Dodge,
Douglas,6
Dundy,
Fillmore,
Franklin,
Frontier,
Furnas,
Gage,
Garden,
Garfield,
Gosper,
Grant,
Greeley,
Hall,
Hamilton,
Harlan,
Hayes,
Hitchcock,
Holt,
Hooker,
Howard,
Jefferson,
Johnson,
Kearney,
Keith,
Keya Paha,
Kimball,
Knox,
Lancaster,1
Lincoln,
Logan,
Loup,
McPherson,
Madison,
Merrick,
Morrill,
Nance,
Nemaha,
Nuckolls,
Otoe,
Pawnee,
Perkins,
Phelps,
Pierce,
Platte,
Polk,
Red Willow,
Richardson,
Rock,
Saline,
Sarpy,1
Saunders,
Scotts Bluff,
Seward,
Sheridan,
Sherman,
Sioux,
Stanton,
Thayer,
Thomas,
Thurston,
Valley,
Washington,
Wayne,
Webster,
Wheeler,
York,
Churchill,
Clark,7
Douglas,3
Elko,3
Esmeralda,
Eureka,
Humboldt,8
Lander,
Lincoln,
Lyon,5
Mineral,
Nye,3
Pershing,
Storey,
Washoe,4
White Pine,
Carson City,4
Belknap,
Carroll,
Cheshire,1
Coos,
Grafton,
Hillsborough,1
Merrimack,
Rockingham,0
Strafford,1
Sullivan,
Atlantic,7
Bergen,1
Burlington,2
Camden,9
Cape May,
Cumberland,7
Essex,14
Gloucester,2
Hudson,3
Hunterdon,
Mercer,7
Middlesex,1
Monmouth,1
Morris,0
Ocean,1
Passaic,4
Salem,6
Somerset,1
Sussex,1
Union,4
Warren,1
Bernalillo,8
Catron,
Chaves,14
Cibola,8
Colfax,12
Curry,6
De Baca,
Dona Ana,4
Eddy,8
Grant,7
Guadalupe,
Harding,
Hidalgo,
Lea,8
Lincoln,
Los Alamos,
Luna,5
McKinley,15
Mora,
Otero,5
Quay,
Rio Arriba,12
Roosevelt,
Sandoval,3
San Juan,9
San Miguel,7
Santa Fe,4
Sierra,
Socorro,
Taos,8
Torrance,9
Union,
Valencia,7
Albany,2
Allegany,
Bronx,6
Broome,2
Cattaraugus,
Cayuga,
Chautauqua,2
Chemung,3
Chenango,
Clinton,
Columbia,
Cortland,
Delaware,
Dutchess,2
Erie,6
Essex,
Franklin,
Fulton,
Genesee,
Greene,
Hamilton,
Herkimer,
Jefferson,1
Kings,5
Lewis,
Livingston,
Madison,
Monroe,5
Montgomery,
Nassau,1
New York,2
Niagara,2
Oneida,2
Onondaga,5
Ontario,
Orange,2
Orleans,
Oswego,1
Otsego,
Putnam,
Queens,2
Rensselaer,3
Richmond,2
Rockland,1
St. Lawrence,1
Saratoga,1
Schenectady,3
Schoharie,
Schuyler,
Seneca,
Steuben,
Suffolk,2
Sullivan,2
Tioga,
Tompkins,
Ulster,1
Warren,
Washington,
Wayne,2
Westchester,1
Wyoming,
Yates,
Alamance,4
Alexander,4
Alleghany,
Anson,18
Ashe,
Avery,
Beaufort,5
Bertie,10
Bladen,10
Brunswick,3
Buncombe,4
Burke,4
Cabarrus,3
Caldwell,5
Camden,
Carteret,3
Caswell,8
Catawba,5
Chatham,3
Cherokee,5
Chowan,
Clay,
Cleveland,6
Columbus,15
Craven,5
Cumberland,11
Currituck,
Dare,
Davidson,3
Davie,
Duplin,4
Durham,10
Edgecombe,13
Forsyth,5
Franklin,6
Gaston,5
Gates,
Graham,
Granville,4
Greene,8
Guilford,7
Halifax,13
Harnett,6
Haywood,3
Henderson,2
Hertford,10
Hoke,9
Hyde,
Iredell,3
Jackson,
Johnston,3
Jones,
Lee,9
Lenoir,12
Lincoln,3
McDowell,6
Macon,4
Madison,
Martin,6
Mecklenburg,6
Mitchell,
Montgomery,5
Moore,4
Nash,9
New Hanover,6
Northampton,9
Onslow,5
Orange,2
Pamlico,
Pasquotank,6
Pender,3
Perquimans,
Person,5
Pitt,5
Polk,
Randolph,3
Richmond,10
Robeson,23
Rockingham,7
Rowan,8
Rutherford,3
Sampson,8
Scotland,14
Stanly,5
Stokes,
Surry,4
Swain,
Transylvania,
Tyrrell,
Union,2
Vance,20
Wake,2
Warren,14
Washington,
Watauga,
Wayne,9
Wilkes,5
Wilson,8
Yadkin,
Yancey,
Adams,
Barnes,
Benson,
Billings,
Bottineau,
Bowman,
Burke,
Burleigh,1
Cass,2
Cavalier,
Dickey,
Divide,
Dunn,
Eddy,
Emmons,
Foster,
Golden Valley,
Grand Forks,2
Grant,
Griggs,
Hettinger,
Kidder,
LaMoure,
Logan,
McHenry,
McIntosh,
McKenzie,
McLean,
Mercer,
Morton,
Mountrail,
Nelson,
Oliver,
Pembina,
Pierce,
Ramsey,
Ransom,
Renville,
Richland,
Rolette,9
Sargent,
Sheridan,
Sioux,
Slope,
Stark,
Steele,
Stutsman,
Towner,
Traill,
Walsh,
Ward,
Wells,
Williams,
Adams,
Allen,5
Ashland,
Ashtabula,9
Athens,2
Auglaize,
Belmont,2
Brown,4
Butler,3
Carroll,
Champaign,
Clark,6
Clermont,0
Clinton,
Columbiana,3
Coshocton,
Crawford,
Cuyahoga,11
Darke,
Defiance,
Delaware,
Erie,2
Fairfield,1
Fayette,
Franklin,9
Fulton,
Gallia,5
Geauga,1
Greene,1
Guernsey,4
Hamilton,9
Hancock,2
Hardin,
Harrison,
Henry,
Highland,8
Hocking,
Holmes,
Huron,
Jackson,4
Jefferson,5
Knox,3
Lake,2
Lawrence,5
Licking,2
Logan,
Lorain,4
Lucas,7
Madison,
Mahoning,10
Marion,2
Medina,1
Meigs,
Mercer,
Miami,
Monroe,
Montgomery,9
Morgan,
Morrow,
Muskingum,1
Noble,
Ottawa,
Paulding,
Perry,5
Pickaway,3
Pike,8
Portage,2
Preble,
Putnam,
Richland,3
Ross,2
Sandusky,2
Scioto,5
Seneca,
Shelby,
Stark,5
Summit,6
Trumbull,6
Tuscarawas,3
Union,
Van Wert,
Vinton,
Warren,1
Washington,2
Wayne,1
Williams,
Wood,1
Wyandot,
Adair,7
Alfalfa,
Atoka,
Beaver,
Beckham,6
Blaine,
Bryan,4
Caddo,9
Canadian,2
Carter,7
Cherokee,6
Choctaw,10
Cimarron,
Cleveland,3
Coal,
Comanche,9
Cotton,
Craig,
Creek,6
Custer,
Delaware,3
Dewey,
Ellis,
Garfield,3
Garvin,
Grady,6
Grant,
Greer,
Harmon,
Harper,
Haskell,
Hughes,12
Jackson,5
Jefferson,
Johnston,
Kay,6
Kingfisher,
Kiowa,
Latimer,
Le Flore,7
Lincoln,6
Logan,3
Love,
McClain,
McCurtain,11
McIntosh,9
Major,
Marshall,
Mayes,4
Murray,
Muskogee,7
Noble,
Nowata,
Okfuskee,11
Oklahoma,10
Okmulgee,9
Osage,4
Ottawa,
Pawnee,
Payne,4
Pittsburg,7
Pontotoc,5
Pottawatomie,5
Pushmataha,
Roger Mills,
Rogers,3
Seminole,9
Sequoyah,6
Stephens,4
Texas,6
Tillman,
Tulsa,10
Wagoner,5
Washington,5
Washita,
Woods,
Woodward,
Baker,
Benton,
Clackamas,1
Clatsop,
Columbia,2
Coos,4
Crook,
Curry,
Deschutes,1
Douglas,6
Gilliam,
Grant,
Harney,
Hood River,
Jackson,2
Jefferson,
Josephine,4
Klamath,6
Lake,
Lane,2
Lincoln,
Linn,2
Malheur,
Marion,2
Morrow,
Multnomah,3
Polk,
Sherman,
Tillamook,
Umatilla,4
Union,
Wallowa,
Wasco,
Washington,1
Wheeler,
Yamhill,2
Adams,1
Allegheny,8
Armstrong,2
Beaver,3
Bedford,
Berks,3
Blair,1
Bradford,2
Bucks,1
Butler,1
Cambria,5
Cameron,
Carbon,2
Centre,0
Chester,1
Clarion,
Clearfield,
Clinton,
Columbia,
Crawford,1
Cumberland,1
Dauphin,6
Delaware,7
Elk,
Erie,4
Fayette,4
Forest,
Franklin,2
Fulton,
Greene,
Huntingdon,
Indiana,3
Jefferson,
Juniata,
Lackawanna,1
Lancaster,2
Lawrence,4
Lebanon,2
Lehigh,4
Luzerne,3
Lycoming,6
McKean,
Mercer,4
Mifflin,
Monroe,2
Montgomery,1
Montour,
Northampton,2
Northumberland,1
Perry,
Philadelphia,18
Pike,
Potter,
Schuylkill,2
Snyder,
Somerset,
Sullivan,
Susquehanna,3
Tioga,
Union,
Venango,
Warren,
Washington,2
Wayne,4
Westmoreland,2
Wyoming,
York,4
Bristol,
Kent,0
Newport,1
Providence,3
Washington,
Abbeville,8
Aiken,8
Allendale,27
Anderson,9
Bamberg,10
Barnwell,18
Beaufort,6
Berkeley,6
Calhoun,
Charleston,11
Cherokee,6
Chester,8
Chesterfield,8
Clarendon,8
Colleton,15
Darlington,11
Dillon,18
Dorchester,6
Edgefield,7
Fairfield,12
Florence,8
Georgetown,6
Greenville,5
Greenwood,8
Hampton,19
Horry,7
Jasper,22
Kershaw,3
Lancaster,11
Laurens,6
Lee,10
Lexington,6
McCormick,
Marion,12
Marlboro,17
Newberry,6
Oconee,6
Orangeburg,14
Pickens,4
Richland,10
Saluda,
Spartanburg,6
Sumter,9
Union,9
Williamsburg,11
York,4
Aurora,
Beadle,
Bennett,
Bon Homme,
Brookings,
Brown,
Brule,
Buffalo,
Butte,
Campbell,
Charles Mix,16
Clark,
Clay,
Codington,
Corson,
Custer,
Davison,
Day,
Deuel,
Dewey,
Douglas,
Edmunds,
Fall River,
Faulk,
Grant,
Gregory,
Haakon,
Hamlin,
Hand,
Hanson,
Harding,
Hughes,
Hutchinson,
Hyde,
Jackson,
Jerauld,
Jones,
Kingsbury,
Lake,
Lawrence,
Lincoln,
Lyman,
McCook,
McPherson,
Marshall,
Meade,
Mellette,
Miner,
Minnehaha,3
Moody,
Oglala Lakota,21
Pennington,3
Perkins,
Potter,
Roberts,
Sanborn,
Spink,
Stanley,
Sully,
Todd,15
Tripp,
Turner,
Union,
Walworth,
Yankton,
Ziebach,
Anderson,3
Bedford,
Benton,
Bledsoe,
Blount,2
Bradley,3
Campbell,5
Cannon,11
Carroll,5
Carter,
Cheatham,5
Chester,
Claiborne,
Clay,
Cocke,5
Coffee,3
Crockett,
Cumberland,4
Davidson,10
Decatur,
DeKalb,
Dickson,4
Dyer,
Fayette,6
Fentress,
Franklin,
Gibson,6
Giles,
Grainger,
Greene,3
Grundy,11
Hamblen,2
Hamilton,8
Hancock,
Hardeman,11
Hardin,6
Hawkins,3
Haywood,
Henderson,
Henry,6
Hickman,
Houston,
Humphreys,
Jackson,
Jefferson,3
Johnson,
Knox,5
Lake,
Lauderdale,9
Lawrence,4
Lewis,
Lincoln,4
Loudon,
McMinn,5
McNairy,
Macon,
Madison,12
Marion,
Marshall,4
Maury,5
Meigs,
Monroe,3
Montgomery,7
Moore,
Morgan,6
Obion,
Overton,
Perry,
Pickett,
Polk,
Putnam,3
Rhea,
Roane,2
Robertson,4
Rutherford,4
Scott,
Sequatchie,
Sevier,
Shelby,19
Smith,
Stewart,
Sullivan,3
Sumner,3
Tipton,6
Trousdale,
Unicoi,8
Union,
Van Buren,
Warren,5
Washington,3
Wayne,
Weakley,4
White,5
Williamson,1
Wilson,3
Anderson,4
Andrews,
Angelina,6
Aransas,5
Archer,
Armstrong,
Atascosa,9
Austin,
Bailey,
Bandera,
Bastrop,5
Baylor,
Bee,6
Bell,6
Bexar,7
Blanco,
Borden,
Bosque,
Bowie,7
Brazoria,4
Brazos,2
Brewster,
Briscoe,
Brooks,
Brown,4
Burleson,
Burnet,4
Caldwell,3
Calhoun,
Callahan,
Cameron,2
Camp,
Carson,
Cass,6
Castro,
Chambers,6
Cherokee,4
Childress,
Clay,
Cochran,
Coke,
Coleman,
Collin,2
Collingsworth,
Colorado,
Comal,3
Comanche,
Concho,
Cooke,
Coryell,3
Cottle,
Crane,
Crockett,
Crosby,
Culberson,
Dallam,
Dallas,7
Dawson,
Deaf Smith,
Delta,
Denton,1
DeWitt,
Dickens,
Dimmit,
Donley,
Duval,
Eastland,
Ector,5
Edwards,
Ellis,3
El Paso,3
Erath,
Falls,
Fannin,4
Fayette,
Fisher,
Floyd,
Foard,
Fort Bend,3
Franklin,
Freestone,
Frio,
Gaines,
Galveston,5
Garza,
Gillespie,
Glasscock,
Goliad,
Gonzales,
Gray,
Grayson,4
Gregg,10
Grimes,5
Guadalupe,3
Hale,
Hall,
Hamilton,
Hansford,
Hardeman,
Hardin,6
Harris,8
Harrison,7
Hartley,
Haskell,
Hays,3
Hemphill,
Henderson,5
Hidalgo,3
Hill,4
Hockley,
Hood,2
Hopkins,5
Houston,
Howard,8
Hudspeth,
Hunt,4
Hutchinson,6
Irion,
Jack,
Jackson,
Jasper,4
Jeff Davis,
Jefferson,10
Jim Hogg,
Jim Wells,10
Johnson,3
Jones,
Karnes,
Kaufman,4
Kendall,
Kenedy,
Kent,
Kerr,4
Kimble,
King,
Kinney,
Kleberg,4
Knox,
Lamar,6
Lamb,
Lampasas,
La Salle,
Lavaca,
Lee,
Leon,
Liberty,4
Limestone,
Lipscomb,
Live Oak,
Llano,
Loving,
Lubbock,5
Lynn,
McCulloch,
McLennan,3
McMullen,
Madison,
Marion,
Martin,
Mason,
Matagorda,5
Maverick,2
Medina,3
Menard,
Midland,4
Milam,
Mills,
Mitchell,
Montague,
Montgomery,3
Moore,
Morris,
Motley,
Nacogdoches,4
Navarro,5
Newton,
Nolan,
Nueces,6
Ochiltree,
Oldham,
Orange,7
Palo Pinto,
Panola,6
Parker,2
Parmer,
Pecos,
Polk,5
Potter,8
Presidio,
Rains,
Randall,2
Reagan,
Real,
Red River,
Reeves,
Refugio,
Roberts,
Robertson,9
Rockwall,2
Runnels,
Rusk,5
Sabine,
San Augustine,
San Jacinto,7
San Patricio,4
San Saba,
Schleicher,
Scurry,
Shackelford,
Shelby,10
Sherman,
Smith,4
Somervell,
Starr,4
Stephens,
Sterling,
Stonewall,
Sutton,
Swisher,
Tarrant,4
Taylor,5
Terrell,
Terry,
Throckmorton,
Titus,5
Tom Green,4
Travis,3
Trinity,
Tyler,7
Upshur,7
Upton,
Uvalde,5
Val Verde,
Van Zandt,5
Victoria,4
Walker,3
Waller,4
Ward,
Washington,
Webb,3
Wharton,3
Wheeler,
Wichita,4
Wilbarger,
Willacy,
Williamson,1
Wilson,12
Winkler,
Wise,3
Wood,5
Yoakum,
Young,
Zapata,
Zavala,
Beaver,
Box Elder,
Cache,
Carbon,
Daggett,
Davis,1
Duchesne,
Emery,
Garfield,
Grand,
Iron,2
Juab,
Kane,
Millard,
Morgan,
Piute,
Rich,
Salt Lake,2
San Juan,
Sanpete,
Sevier,
Summit,
Tooele,
Uintah,6
Utah,1
Wasatch,
Washington,1
Wayne,
Weber,2
Addison,
Bennington,
Caledonia,
Chittenden,1
Essex,
Franklin,
Grand Isle,
Lamoille,
Orange,
Orleans,
Rutland,2
Washington,2
Windham,
Windsor,
Accomack,9
Albemarle,2
Alleghany,
Amelia,
Amherst,
Appomattox,
Arlington,1
Augusta,2
Bath,
Bedford,2
Bland,
Botetourt,
Brunswick,
Buchanan,
Buckingham,
Campbell,4
Caroline,4
Carroll,
Charles City,
Charlotte,
Chesterfield,4
Clarke,
Craig,
Culpeper,3
Cumberland,
Dickenson,
Dinwiddie,8
Essex,
Fairfax,1
Fauquier,2
Floyd,
Fluvanna,
Franklin,5
Frederick,
Giles,
Gloucester,
Goochland,
Grayson,
Greene,
Greensville,
Halifax,4
Hanover,2
Henrico,5
Henry,6
Highland,
Isle of Wight,3
James City,2
King and Queen,
King George,
King William,
Lancaster,
Lee,
Loudoun,1
Louisa,
Lunenburg,
Madison,
Mathews,
Mecklenburg,5
Middlesex,
Montgomery,
Nelson,
New Kent,
Northampton,
Northumberland,
Nottoway,
Orange,
Page,
Patrick,
Pittsylvania,3
Powhatan,
Prince Edward,
Prince George,
Prince William,2
Pulaski,4
Rappahannock,
Richmond,
Roanoke,3
Rockbridge,
Rockingham,1
Russell,
Scott,
Shenandoah,
Smyth,
Southampton,
Spotsylvania,1
Stafford,2
Surry,
Sussex,
Tazewell,4
Warren,
Washington,3
Westmoreland,
Wise,5
Wythe,
York,2
Alexandria City,2
Bristol City,
Buena Vista City,
Charlottesville City,4
Chesapeake City,5
Colonial Heights City,
Covington City,
Danville City,20
Emporia City,26
Fairfax City,
Falls Church City,
Franklin City,
Fredericksburg City,
Galax City,
Hampton City,12
Harrisonburg City,
Hopewell City,17
Lexington City,
Lynchburg City,4
Manassas City,
Manassas Park City,
Martinsville City,11
Newport News City,12
Norfolk City,13
Norton City,
Petersburg City,36
Poquoson City,
Portsmouth City,15
Radford City,
Richmond City,17
Roanoke City,10
Salem City,
Staunton City,
Suffolk City,4
Virginia Beach City,4
Waynesboro City,
Williamsburg City,
Winchester City,
Adams,
Asotin,
Benton,2
Chelan,2
Clallam,3
Clark,2
Columbia,
Cowlitz,2
Douglas,
Ferry,
Franklin,4
Garfield,
Grant,3
Grays Harbor,4
Island,
Jefferson,
King,2
Kitsap,2
Kittitas,
Klickitat,
Lewis,3
Lincoln,
Mason,7
Okanogan,4
Pacific,
Pend Oreille,
Pierce,4
San Juan,
Skagit,4
Skamania,
Snohomish,2
Spokane,3
Stevens,3
Thurston,2
Wahkiakum,
Walla Walla,2
Whatcom,2
Whitman,
Yakima,8
Barbour,
Berkeley,4
Boone,6
Braxton,
Brooke,
Cabell,7
Calhoun,
Clay,
Doddridge,
Fayette,8
Gilmer,
Grant,
Greenbrier,5
Hampshire,
Hancock,
Hardy,
Harrison,3
Jackson,
Jefferson,2
Kanawha,8
Lewis,
Lincoln,
Logan,7
McDowell,17
Marion,3
Marshall,
Mason,
Mercer,8
Mineral,
Mingo,5
Monongalia,2
Monroe,
Morgan,
Nicholas,
Ohio,
Pendleton,
Pleasants,
Pocahontas,
Preston,8
Putnam,
Raleigh,8
Randolph,
Ritchie,
Roane,
Summers,
Taylor,
Tucker,
Tyler,
Upshur,
Wayne,4
Webster,
Wetzel,
Wirt,
Wood,4
Wyoming,
Adams,
Ashland,
Barron,
Bayfield,
Brown,1
Buffalo,
Burnett,
Calumet,
Chippewa,
Clark,
Columbia,
Crawford,
Dane,1
Dodge,
Door,
Douglas,
Dunn,
Eau Claire,1
Florence,
Fond du Lac,
Forest,
Grant,
Green,
Green Lake,
Iowa,
Iron,
Jackson,
Jefferson,
Juneau,
Kenosha,3
Kewaunee,
La Crosse,1
Lafayette,
Langlade,
Lincoln,
Manitowoc,1
Marathon,1
Marinette,
Marquette,
Menominee,
Milwaukee,13
Monroe,
Oconto,
Oneida,
Outagamie,1
Ozaukee,
Pepin,
Pierce,
Polk,
Portage,
Price,
Racine,2
Richland,
Rock,3
Rusk,
St. Croix,
Sauk,
Sawyer,
Shawano,
Sheboygan,
Taylor,
Trempealeau,
Vernon,
Vilas,
Walworth,1
Washburn,
Washington,1
Waukesha,1
Waupaca,
Waushara,
Winnebago,1
Wood,
Albany,
Big Horn,
Campbell,
Carbon,
Converse,
Crook,
Fremont,12
Goshen,
Hot Springs,
Johnson,
Laramie,3
Lincoln,
Natrona,4
Niobrara,
Park,
Platte,
Sheridan,
Sublette,
Sweetwater,
Teton,
Uinta,
Washakie,
Weston,
