County_Name,ratio_primary_care_provider
Ray,7434
Reynolds,3343
Ripley,4941
St. Charles,4302
St. Clair,3683
Ste. Genevieve,5210
St. Francois,2520
St. Louis,1825
Saline,3269
Schuyler,3036
Scotland,1448
Scott,2922
Shannon,4095
Shelby,2017
Stoddard,3838
Stone,5528
Sullivan,4152
Taney,2361
Texas,4686
Vernon,4021
Warren,10688
Washington,4791
Wayne,5511
Webster,5371
Worth,4097
Wright,7191
St. Louis City,1559
Beaverhead,1902
Big Horn,2437
Blaine,3379
Broadwater,6011
Carbon,4818
Carter,669
Cascade,2138
Chouteau,6723
Custer,1748
Daniels,509
Dawson,2906
Deer Lodge,1672
Fallon,2235
Fergus,3263
Flathead,1873
Gallatin,2198
Garfield,1321
Glacier,2297
Golden Valley,1648
Granite,5047
Hill,2357
Jefferson,4345
Judith Basin,163
Lake,2450
Lewis and Clark,1839
Liberty,3035
Lincoln,2121
McCone,1746
Madison,2142
Meagher,2792
Mineral,2847
Missoula,1639
Musselshell,2326
Park,1673
Petroleum,43
Phillips,4934
Pondera,2734
Powder River,1789
Powell,3093
Prairie,590
Ravalli,3179
Richland,3572
Roosevelt,3512
Rosebud,2605
Sanders,3670
Sheridan,2876
Silver Bow,2259
Stillwater,7094
Sweet Grass,2774
Teton,6855
Toole,3656
Treasure,56
Valley,2231
Wheatland,745
Wibaux,85
Yellowstone,1581
Adams,1847
Antelope,3026
Arthur,38
Banner,61
Blaine,39
Boone,1417
Box Butte,3524
Boyd,2614
Brown,1996
Buffalo,1767
Burt,3476
Butler,3693
Cass,7596
Cedar,10219
Chase,1326
Cherry,2278
Cheyenne,2544
Clay,5174
Colfax,1814
Cuming,4496
Custer,3365
Dakota,12603
Dawes,3449
Dawson,2942
Deuel,154
Dixon,5732
Dodge,3001
Douglas,1472
Dundy,2244
Fillmore,2317
Franklin,1927
Frontier,2608
Furnas,2267
Gage,2402
Garden,1976
Garfield,4003
Gosper,83
Grant,54
Greeley,98
Hall,2457
Hamilton,2570
Harlan,2282
Hayes,75
Hitchcock,2806
Holt,1463
Hooker,365
Howard,3070
Jefferson,2855
Johnson,3449
Kearney,3486
Keith,2682
Keya Paha,66
Kimball,1206
Knox,2883
Lancaster,2282
Lincoln,2606
Logan,63
Loup,51
McPherson,41
Madison,1984
Merrick,5874
Morrill,6008
Nance,883
Nemaha,8348
Nuckolls,1904
Otoe,2833
Pawnee,2198
Perkins,1554
Phelps,2194
Pierce,2210
Platte,3467
Polk,5303
Red Willow,2358
Richardson,3538
Rock,399
Saline,3368
Sarpy,3718
Saunders,5675
Scotts Bluff,1974
Seward,6046
Sheridan,3061
Sherman,126
Sioux,1252
Stanton,1990
Thayer,3529
Thomas,60
Thurston,2536
Valley,1226
Washington,3220
Wayne,6566
Webster,1470
Wheeler,67
York,2507
Churchill,3493
Clark,3201
Douglas,2827
Elko,4580
Esmeralda,884
Eureka,2629
Humboldt,5460
Lander,8481
Lincoln,3912
Lyon,9297
Mineral,4486
Nye,4506
Pershing,3333
Storey,0
Washoe,2392
White Pine,3968
Carson City,1987
Belknap,2756
Carroll,1979
Cheshire,2554
Coos,1710
Grafton,818
Hillsborough,1862
Merrimack,1547
Rockingham,2189
Strafford,2320
Sullivan,2834
Atlantic,2530
Bergen,2762
Burlington,2753
Camden,1979
Cape May,3297
Cumberland,4351
Essex,2566
Gloucester,3818
Hudson,5457
Hunterdon,2261
Mercer,2184
Middlesex,3008
Monmouth,2219
Morris,2235
Ocean,4320
Passaic,4217
Salem,6903
Somerset,2906
Sussex,5829
Union,3332
Warren,4046
Bernalillo,1714
Catron,4774
Chaves,2742
Cibola,2661
Colfax,3536
Curry,3344
De Baca,2720
Dona Ana,2831
Eddy,4113
Grant,2033
Guadalupe,2697
Harding,683
Hidalgo,1060
Lea,4178
Lincoln,2996
Los Alamos,1376
Luna,4273
McKinley,2954
Mora,1502
Otero,3544
Quay,3801
Rio Arriba,3561
Roosevelt,3678
Sandoval,3233
San Juan,2968
San Miguel,2838
Santa Fe,1841
Sierra,3623
Socorro,3687
Taos,1952
Torrance,17733
Union,5560
Valencia,4984
Albany,1522
Allegany,3635
Bronx,2642
Broome,1742
Cattaraugus,3263
Cayuga,4752
Chautauqua,2902
Chemung,2036
Chenango,3692
Clinton,2418
Columbia,3323
Cortland,3345
Delaware,4386
Dutchess,2423
Erie,1868
Essex,3753
Franklin,2586
Fulton,3731
Genesee,4498
Greene,3923
Hamilton,5594
Herkimer,5044
Jefferson,2509
Kings,2937
Lewis,2954
Livingston,4027
Madison,2880
Monroe,1442
Montgomery,2970
Nassau,1401
New York,1178
Niagara,4011
Oneida,2085
Onondaga,1532
Ontario,2121
Orange,2506
Orleans,16785
Oswego,3659
Otsego,1225
Putnam,3825
Queens,3070
Rensselaer,3238
Richmond,1941
Rockland,2779
St. Lawrence,2677
Saratoga,2636
Schenectady,1996
Schoharie,7383
Schuyler,3264
Seneca,6117
Steuben,2628
Suffolk,2411
Sullivan,4732
Tioga,4988
Tompkins,2020
Ulster,3076
Warren,1261
Washington,4881
Wayne,5488
Westchester,1931
Wyoming,4370
Yates,3649
Alamance,3507
Alexander,6811
Alleghany,2779
Anson,5193
Ashe,3537
Avery,5452
Beaufort,3433
Bertie,7767
Bladen,6111
Brunswick,3267
Buncombe,1122
Burke,2976
Cabarrus,1988
Caldwell,3425
Camden,5291
Carteret,2216
Caswell,6797
Catawba,2174
Chatham,3663
Cherokee,3901
Chowan,2734
Clay,2703
Cleveland,2654
Columbus,3777
Craven,2407
Cumberland,1860
Currituck,9176
Dare,2974
Davidson,5791
Davie,3921
Duplin,5618
Durham,1229
Edgecombe,4664
Forsyth,1299
Franklin,15532
Gaston,2620
Gates,1929
Graham,5685
Granville,3637
Greene,9106
Guilford,2067
Halifax,3134
Harnett,4808
Haywood,3151
Henderson,1941
Hertford,2404
Hoke,5951
Hyde,6409
Iredell,2128
Jackson,1958
Johnston,4994
Jones,3363
Lee,2918
Lenoir,3405
Lincoln,3486
McDowell,4422
Macon,2606
Madison,3849
Martin,3898
Mecklenburg,1716
Mitchell,2275
Montgomery,5623
Moore,1490
Nash,2732
New Hanover,1587
Northampton,23141
Onslow,4044
Orange,972
Pamlico,4227
Pasquotank,2180
Pender,5658
Perquimans,16830
Person,3566
Pitt,1519
Polk,3243
Randolph,3563
Richmond,5690
Robeson,3473
Rockingham,4564
Rowan,3427
Rutherford,3510
Sampson,4308
Scotland,2240
Stanly,3940
Stokes,6196
Surry,2601
Swain,1651
Transylvania,2887
Tyrrell,0
Union,3440
Vance,3620
Wake,2065
Warren,23844
Washington,4980
Watauga,2380
Wayne,3021
Wilkes,3673
Wilson,3251
Yadkin,4824
Yancey,2673
Adams,806
Barnes,2244
Benson,2321
Billings,77
Bottineau,4334
Bowman,769
Burke,87
Burleigh,1429
Cass,1520
Cavalier,5677
Dickey,1542
Divide,761
Dunn,866
Eddy,96
Emmons,3960
Foster,1729
Golden Valley,959
Grand Forks,1378
Grant,396
Griggs,2630
Hettinger,629
Kidder,2450
LaMoure,6118
Logan,1997
McHenry,1454
McIntosh,1626
McKenzie,14671
McLean,5479
Mercer,2002
Morton,5940
Mountrail,4061
Nelson,4372
Oliver,162
Pembina,4354
Pierce,1608
Ramsey,1867
Ransom,2348
Renville,98
Richland,3397
Rolette,3029
Sargent,161
Sheridan,731
Sioux,2179
Slope,63
Stark,2785
Steele,159
Stutsman,1993
Towner,365
Traill,5614
Walsh,3356
Ward,2195
Wells,5011
Williams,3267
Adams,3631
Allen,2076
Ashland,3599
Ashtabula,5010
Athens,2448
Auglaize,4724
Belmont,3776
Brown,6053
Butler,3296
Carroll,14504
Champaign,7135
Clark,3888
Clermont,3970
Clinton,2715
Columbiana,4244
Coshocton,5629
Crawford,3831
Cuyahoga,1507
Darke,5331
Defiance,2974
Delaware,2652
Erie,2578
Fairfield,2972
Fayette,4151
Franklin,1748
Fulton,4757
Gallia,1661
Geauga,4294
Greene,2460
Guernsey,3745
Hamilton,1586
Hancock,2830
Hardin,5104
Harrison,12659
Henry,8136
Highland,4725
Hocking,4062
Holmes,8385
Huron,3535
Jackson,3541
Jefferson,3048
Knox,4206
Lake,3868
Lawrence,3849
Licking,4626
Logan,3946
Lorain,3553
Lucas,1741
Madison,4955
Mahoning,2136
Marion,4351
Medina,3327
Meigs,13641
Mercer,3906
Miami,3497
Monroe,8943
Montgomery,1811
Morgan,29313
Morrow,12854
Muskingum,2241
Noble,6853
Ottawa,6789
Paulding,6896
Perry,6305
Pickaway,4284
Pike,5693
Portage,5368
Preble,8436
Putnam,5536
Richland,3066
Ross,2476
Sandusky,3441
Scioto,2239
Seneca,4447
Shelby,6039
Stark,2345
Summit,1974
Trumbull,5143
Tuscarawas,4477
Union,4020
Van Wert,3742
Vinton,13116
Warren,2792
Washington,1813
Wayne,3990
Williams,4089
Wood,3003
Wyandot,6600
Adair,4211
Alfalfa,5831
Atoka,11557
Beaver,6645
Beckham,2137
Blaine,4521
Bryan,4123
Caddo,7360
Canadian,4097
Carter,2630
Cherokee,2894
Choctaw,3699
Cimarron,89
Cleveland,3191
Coal,7482
Comanche,2368
Cotton,8711
Craig,3410
Creek,7331
Custer,3120
Delaware,3508
Dewey,7333
Ellis,5935
Garfield,3190
Garvin,4260
Grady,4102
Grant,1442
Greer,1455
Harmon,3222
Harper,5074
Haskell,4096
Hughes,4660
Jackson,3715
Jefferson,3967
Johnston,4331
Kay,4241
Kingfisher,3541
Kiowa,4419
Latimer,5774
Le Flore,5488
Lincoln,5568
Logan,49273
Love,5372
McClain,3785
McCurtain,3674
McIntosh,4528
Major,6386
Marshall,5688
Mayes,5890
Murray,6259
Muskogee,3052
Noble,8464
Nowata,7197
Okfuskee,1344
Oklahoma,1844
Okmulgee,4799
Osage,8186
Ottawa,3256
Pawnee,5939
Payne,3813
Pittsburg,3038
Pontotoc,1984
Pottawatomie,3754
Pushmataha,7184
Roger Mills,3686
Rogers,4734
Seminole,3717
Sequoyah,6012
Stephens,3008
Texas,5012
Tillman,5554
Tulsa,1753
Wagoner,7031
Washington,3385
Washita,14838
Woods,3289
Woodward,3490
Baker,2036
Benton,1736
Clackamas,2948
Clatsop,2677
Columbia,4986
Coos,2285
Crook,5445
Curry,2462
Deschutes,1871
Douglas,2661
Gilliam,551
Grant,2462
Harney,2374
Hood River,1496
Jackson,1844
Jefferson,3720
Josephine,2298
Klamath,2103
Lake,3149
Lane,2356
Lincoln,2679
Linn,3974
Malheur,4155
Marion,2885
Morrow,3740
Multnomah,1536
Polk,3638
Sherman,1781
Tillamook,2623
Umatilla,3663
Union,2158
Wallowa,2199
Wasco,2209
Washington,2568
Wheeler,398
Yamhill,3258
Adams,3235
Allegheny,1453
Armstrong,3519
Beaver,3658
Bedford,5135
Berks,2820
Blair,1779
Bradford,1515
Bucks,2717
Butler,2519
Cambria,1944
Cameron,5091
Carbon,3769
Centre,2237
Chester,2335
Clarion,3361
Clearfield,2503
Clinton,3025
Columbia,3442
Crawford,2511
Cumberland,1997
Dauphin,1366
Delaware,2088
Elk,2875
Erie,1885
Fayette,3584
Forest,3640
Franklin,2796
Fulton,5771
Greene,3684
Huntingdon,4401
Indiana,3317
Jefferson,3309
Juniata,5851
Lackawanna,2044
Lancaster,2506
Lawrence,3949
Lebanon,2824
Lehigh,1608
Luzerne,2179
Lycoming,1854
McKean,3120
Mercer,2628
Mifflin,3034
Monroe,3632
Montgomery,1752
Montour,258
Northampton,1820
Northumberland,4522
Perry,7742
Philadelphia,2168
Pike,7784
Potter,3039
Schuylkill,3384
Snyder,3541
Somerset,3890
Sullivan,2024
Susquehanna,4868
Tioga,3178
Union,1608
Venango,2528
Warren,3027
Washington,2431
Wayne,3056
Westmoreland,2527
Wyoming,3642
York,2570
Bristol,3732
Kent,2056
Newport,2767
Providence,1839
Washington,2454
Abbeville,3300
Aiken,4786
Allendale,2558
Anderson,3123
Bamberg,3896
Barnwell,7095
Beaufort,2620
Berkeley,5508
Calhoun,9741
Charleston,1306
Cherokee,4162
Chester,8069
Chesterfield,5973
Clarendon,4781
Colleton,3279
Darlington,3275
Dillon,3308
Dorchester,4321
Edgefield,4898
Fairfield,4549
Florence,1733
Georgetown,3259
Greenville,1678
Greenwood,2056
Hampton,4285
Horry,2757
Jasper,6479
Kershaw,3555
Lancaster,4191
Laurens,4384
Lee,8232
Lexington,2885
McCormick,5523
Marion,4131
Marlboro,8005
Newberry,3466
Oconee,2853
Orangeburg,3562
Pickens,3029
Richland,1984
Saluda,12509
Spartanburg,2543
Sumter,3077
Union,5244
Williamsburg,10053
York,3969
Aurora,4139
Beadle,2302
Bennett,347
Bon Homme,2381
Brookings,2928
Brown,2201
Brule,1245
Buffalo,762
Butte,6758
Campbell,114
Charles Mix,2120
Clark,3739
Clay,2490
Codington,2442
Corson,1041
Custer,4355
Davison,2506
Day,4137
Deuel,4310
Dewey,6229
Douglas,1955
Edmunds,2929
Fall River,2551
Faulk,2912
Grant,2438
Gregory,1936
Haakon,1051
Hamlin,9004
Hand,2183
Hanson,140
Harding,676
Hughes,1892
Hutchinson,1897
Hyde,695
Jackson,827
Jerauld,1695
Jones,967
Kingsbury,3023
Lake,4212
Lawrence,2041
Lincoln,1443
Lyman,4859
McCook,7348
McPherson,3620
Marshall,6508
Meade,2736
Mellette,2042
Miner,2966
Minnehaha,1561
Moody,4606
Oglala Lakota,4915
Pennington,1595
Perkins,1461
Potter,368
Roberts,2048
Sanborn,2429
Spink,4829
Stanley,4528
Sully,2799
Todd,5719
Tripp,1701
Turner,1404
Union,1976
Walworth,2040
Yankton,1877
Ziebach,114
Anderson,2640
Bedford,3852
Benton,6181
Bledsoe,16356
Blount,2495
Bradley,2673
Campbell,2747
Cannon,7149
Carroll,2691
Carter,4213
Cheatham,2844
Chester,4658
Claiborne,2312
Clay,3854
Cocke,2942
Coffee,2106
Crockett,1102
Cumberland,2488
Davidson,1516
Decatur,3588
DeKalb,4031
Dickson,3568
Dyer,3059
Fayette,5110
Fentress,3481
Franklin,2839
Gibson,3597
Giles,3656
Grainger,6733
Greene,2532
Grundy,1112
Hamblen,2168
Hamilton,1449
Hancock,7068
Hardeman,5817
Hardin,2746
Hawkins,4758
Haywood,4262
Henderson,4294
Henry,2486
Hickman,7251
Houston,5287
Humphreys,4852
Jackson,17597
Jefferson,3571
Johnson,3660
Knox,1357
Lake,926
Lauderdale,13867
Lawrence,3493
Lewis,7529
Lincoln,3358
Loudon,3111
McMinn,3100
McNairy,4611
Macon,7537
Madison,1253
Marion,3281
Marshall,7747
Maury,2604
Meigs,3549
Monroe,6029
Montgomery,3745
Moore,2137
Morgan,9174
Obion,2874
Overton,3777
Perry,4721
Pickett,3384
Polk,3366
Putnam,1981
Rhea,4196
Roane,3794
Robertson,3883
Rutherford,3325
Scott,3361
Sequatchie,4299
Sevier,3371
Shelby,1941
Smith,4449
Stewart,14398
Sullivan,1265
Sumner,3040
Tipton,4719
Trousdale,6266
Unicoi,3806
Union,7995
Van Buren,5765
Warren,2844
Washington,895
Wayne,4352
Weakley,2869
White,4400
Williamson,1455
Wilson,3985
Anderson,4760
Andrews,3480
Angelina,2970
Aransas,5004
Archer,0
Armstrong,1970
Atascosa,8410
Austin,6963
Bailey,3530
Bandera,6007
Bastrop,6584
Baylor,2507
Bee,6462
Bell,1819
Bexar,2375
Blanco,6226
Borden,55
Bosque,4169
Bowie,2166
Brazoria,3209
Brazos,2853
Brewster,2880
Briscoe,1579
Brooks,3557
Brown,3226
Burleson,4872
Burnet,3825
Caldwell,5494
Calhoun,3636
Callahan,15695
Cameron,3550
Camp,7686
Carson,858
Cass,5760
Castro,10398
Chambers,12206
Cherokee,4775
Childress,1618
Clay,7833
Cochran,5687
Coke,140
Coleman,3365
Collin,2446
Collingsworth,592
Colorado,5659
Comal,2985
Comanche,3954
Concho,4855
Cooke,4421
Coryell,6376
Cottle,115
Crane,9534
Crockett,7063
Crosby,4876
Culberson,1102
Dallam,2097
Dallas,2382
Dawson,6074
Deaf Smith,10356
Delta,7973
Denton,3123
DeWitt,3392
Dickens,4458
Dimmit,4078
Donley,4141
Duval,1869
Eastland,5686
Ector,2946
Edwards,161
Ellis,4292
El Paso,3357
Erath,4183
Falls,11195
Fannin,7273
Fayette,4920
Fisher,4840
Floyd,4383
Foard,1250
Fort Bend,2669
Franklin,8972
Freestone,5072
Frio,6551
Gaines,9353
Galveston,2493
Garza,6528
Gillespie,2647
Glasscock,114
Goliad,7584
Gonzales,4505
Gray,4053
Grayson,3455
Gregg,1894
Grimes,7258
Guadalupe,5940
Hale,5024
Hall,6099
Hamilton,2265
Hansford,4545
Hardeman,4921
Hardin,7394
Harris,2803
Harrison,5176
Hartley,0
Haskell,1915
Hays,4019
Hemphill,2919
Henderson,5409
Hidalgo,3458
Hill,7787
Hockley,4074
Hood,4208
Hopkins,5138
Houston,8651
Howard,4261
Hudspeth,0
Hunt,4747
Hutchinson,5704
Irion,126
Jack,6630
Jackson,16458
Jasper,4100
Jeff Davis,4532
Jefferson,2621
Jim Hogg,5202
Jim Wells,5124
Johnson,4056
Jones,6162
Karnes,9014
Kaufman,5490
Kendall,2110
Kenedy,35
Kent,62
Kerr,2314
Kimble,2342
King,23
Kinney,3767
Kleberg,4445
Knox,4319
Lamar,2998
Lamb,5865
Lampasas,5369
La Salle,837
Lavaca,3261
Lee,7153
Leon,3454
Liberty,6722
Limestone,4509
Lipscomb,3355
Live Oak,15216
Llano,4856
Loving,11
Lubbock,1908
Lynn,3422
McCulloch,4651
McLennan,2728
McMullen,781
Madison,8347
Marion,3309
Martin,5690
Mason,2140
Matagorda,4459
Maverick,6047
Medina,8668
Menard,4263
Midland,3940
Milam,14005
Mills,4101
Mitchell,6190
Montague,9789
Montgomery,3113
Moore,5791
Morris,9319
Motley,1285
Nacogdoches,2599
Navarro,4279
Newton,6873
Nolan,5168
Nueces,2270
Ochiltree,7492
Oldham,2131
Orange,7607
Palo Pinto,4306
Panola,6763
Parker,5086
Parmer,5818
Pecos,3439
Polk,3696
Potter,1865
Presidio,5894
Rains,18040
Randall,3685
Reagan,3726
Real,4588
Red River,10173
Reeves,5163
Refugio,5956
Roberts,76
Robertson,19672
Rockwall,2502
Runnels,2929
Rusk,8006
Sabine,6113
San Augustine,6185
San Jacinto,16603
San Patricio,5701
San Saba,4998
Schleicher,2895
Scurry,4705
Shackelford,6581
Shelby,6374
Sherman,3079
Smith,1704
Somervell,2601
Starr,6856
Stephens,4055
Sterling,709
Stonewall,1615
Sutton,2008
Swisher,10002
Tarrant,2960
Taylor,2104
Terrell,856
Terry,5227
Throckmorton,3042
Titus,2860
Tom Green,2568
Travis,2253
Trinity,8972
Tyler,7020
Upshur,11692
Upton,2750
Uvalde,3939
Val Verde,5053
Van Zandt,9253
Victoria,2337
Walker,5625
Waller,61677
Ward,5126
Washington,3341
Webb,5073
Wharton,4109
Wheeler,4409
Wichita,2275
Wilbarger,3958
Willacy,4353
Williamson,2932
Wilson,4337
Winkler,6360
Wise,3874
Wood,3566
Yoakum,5004
Young,3303
Zapata,19052
Zavala,7305
Beaver,2100
Box Elder,6433
Cache,3973
Carbon,2810
Daggett,1022
Davis,3939
Duchesne,3334
Emery,11746
Garfield,2963
Grand,2139
Iron,4639
Juab,5459
Kane,3177
Millard,5090
Morgan,3924
Piute,119
Rich,1232
Salt Lake,2131
San Juan,2254
Sanpete,3681
Sevier,4090
Summit,2189
Tooele,7029
Uintah,4789
Utah,3667
Wasatch,5582
Washington,2707
Wayne,3616
Weber,3389
Addison,2108
Bennington,1785
Caledonia,2002
Chittenden,1223
Essex,7793
Franklin,2715
Grand Isle,8840
Lamoille,2206
Orange,2391
Orleans,2960
Rutland,2178
Washington,1863
Windham,1903
Windsor,1741
Accomack,3655
Albemarle,1891
Alleghany,3817
Amelia,17358
Amherst,6949
Appomattox,10481
Arlington,2866
Augusta,3051
Bath,5728
Bedford,4043
Bland,524
Botetourt,3801
Brunswick,8168
Buchanan,4647
Buckingham,7666
Campbell,11609
Caroline,13785
Carroll,2164
Charles City,5816
Charlotte,4119
Chesterfield,2763
Clarke,6914
Craig,5062
Culpeper,3691
Cumberland,3270
Dickenson,4906
Dinwiddie,35581
Essex,7698
Fairfax,2080
Fauquier,3742
Floyd,5125
Fluvanna,7605
Franklin,5498
Frederick,8227
Giles,3936
Gloucester,3474
Goochland,5729
Grayson,6521
Greene,10515
Greensville,5243
Halifax,3367
Hanover,2658
Henrico,2074
Henry,8021
Highland,4422
Isle of Wight,6769
James City,1891
King and Queen,2334
King George,5660
King William,6059
Lancaster,2697
Lee,5137
Loudoun,2839
Louisa,11769
Lunenburg,7629
Madison,4113
Mathews,5129
Mecklenburg,2907
Middlesex,5355
Montgomery,2528
Nelson,2797
New Kent,6296
Northampton,1890
Northumberland,4060
Nottoway,3256
Orange,5736
Page,4163
Patrick,5497
Pittsylvania,16315
Powhatan,6213
Prince Edward,2897
Prince George,7422
Prince William,4231
Pulaski,4235
Rappahannock,2440
Richmond,1808
Roanoke,2215
Rockbridge,5629
Rockingham,7181
Russell,4651
Scott,4560
Shenandoah,4035
Smyth,2356
Southampton,8835
Spotsylvania,3046
Stafford,6110
Surry,3270
Sussex,9410
Tazewell,2451
Warren,4106
Washington,2270
Westmoreland,17805
Wise,2985
Wythe,2885
York,2421
Alexandria City,3029
Bristol City,3364
Buena Vista City,12564
Charlottesville City,560
Chesapeake City,2398
Colonial Heights City,1337
Covington City,2754
Danville City,1481
Emporia City,394
Fairfax City,6595
Falls Church City,856
Franklin City,1619
Fredericksburg City,899
Galax City,247
Hampton City,3534
Harrisonburg City,1205
Hopewell City,4019
Lexington City,420
Lynchburg City,1164
Manassas City,1515
Manassas Park City,0
Martinsville City,13473
Newport News City,2523
Norfolk City,1575
Norton City,854
Petersburg City,2115
Poquoson City,1507
Portsmouth City,2654
Radford City,2551
Richmond City,1537
Roanoke City,1501
Salem City,1191
Staunton City,2934
Suffolk City,2060
Virginia Beach City,2349
Waynesboro City,4834
Williamsburg City,29927
Winchester City,537
Adams,3329
Asotin,3241
Benton,2420
Chelan,1471
Clallam,1854
Clark,3002
Columbia,2364
Cowlitz,2765
Douglas,7925
Ferry,2284
Franklin,6002
Garfield,1480
Grant,3611
Grays Harbor,4011
Island,4480
Jefferson,2134
King,1834
Kitsap,2969
Kittitas,3344
Klickitat,2618
Lewis,3229
Lincoln,4435
Mason,6268
Okanogan,2038
Pacific,6328
Pend Oreille,2880
Pierce,2264
San Juan,3733
Skagit,2128
Skamania,3975
Snohomish,3570
Spokane,1807
Stevens,2857
Thurston,2162
Wahkiakum,1107
Walla Walla,1848
Whatcom,2357
Whitman,3247
Yakima,2500
Barbour,3390
Berkeley,3424
Boone,3709
Braxton,4721
Brooke,10040
Cabell,958
Calhoun,3095
Clay,9997
Doddridge,12686
Fayette,3103
Gilmer,4675
Grant,4852
Greenbrier,1453
Hampshire,5580
Hancock,2750
Hardy,7624
Harrison,1432
Jackson,4324
Jefferson,3429
Kanawha,1151
Lewis,2049
Lincoln,3687
Logan,2710
McDowell,4519
Marion,3098
Marshall,4109
Mason,4343
Mercer,2027
Mineral,5474
Mingo,5958
Monongalia,1036
Monroe,4893
Morgan,3992
Nicholas,2123
Ohio,943
Pendleton,3207
Pleasants,15019
Pocahontas,3797
Preston,4001
Putnam,2439
Raleigh,1566
Randolph,1685
Ritchie,6276
Roane,2916
Summers,3759
Taylor,4227
Tucker,3464
Tyler,6132
Upshur,3107
Wayne,2935
Webster,3151
Wetzel,4111
Wirt,6523
Wood,1942
Wyoming,6504
Adams,14057
Ashland,1538
Barron,1684
Bayfield,18044
Brown,2125
Buffalo,13147
Burnett,9075
Calumet,13361
Chippewa,2915
Clark,5295
Columbia,3477
Crawford,3103
Dane,1397
Dodge,3253
Door,2504
Douglas,6537
Dunn,2944
Eau Claire,1343
Florence,5778
Fond du Lac,2763
Forest,4274
Grant,3518
Green,2810
Green Lake,2824
Iowa,3463
Iron,4256
Jackson,2685
Jefferson,4999
Juneau,2418
Kenosha,3686
Kewaunee,3133
La Crosse,1177
Lafayette,7518
Langlade,2268
Lincoln,3176
Manitowoc,3359
Marathon,1947
Marinette,2614
Marquette,23025
Menominee,3861
Milwaukee,1925
Monroe,2620
Oconto,4530
Oneida,1575
Outagamie,2104
Ozaukee,1660
Pepin,4848
Pierce,7524
Polk,3022
Portage,2702
Price,5438
Racine,3586
Richland,2927
Rock,3474
Rusk,4598
St. Croix,4448
Sauk,2191
Sawyer,2547
Shawano,2740
Sheboygan,2791
Taylor,3875
Trempealeau,4816
Vernon,2581
Vilas,4291
Walworth,4820
Washburn,3319
Washington,3611
Waukesha,1642
Waupaca,2985
Waushara,4997
Winnebago,2058
Wood,1226
Albany,2361
Big Horn,7933
Campbell,3499
Carbon,2982
Converse,2882
Crook,4333
Fremont,2170
Goshen,2888
Hot Springs,2704
Johnson,2821
Laramie,2112
Lincoln,3249
Natrona,2020
Niobrara,3587
Park,1585
Platte,4567
Sheridan,2279
Sublette,3362
Sweetwater,4206
Teton,1785
Uinta,3838
Washakie,3987
Weston,3702
